"County","name","value"
"Andrews","NCHS.Rural.Urban.Code","5"
"Andrews","Percent.Households.No.Computer.Device","7.2"
"Andrews","Percent.Households.Smartphone.Only","13.21"
"Andrews","Percent.Households.No.Internet","9.84"
"Andrews","Percent.Commute.Less.than.15min","56.21"
"Andrews","Percent.Commute.15min.to.29min","8.78"
"Andrews","Percent.Commute.30min.to.59min","22.77"
"Andrews","Percent.Commute.60min.or.More","12.24"
"Andrews","Percent.Housing.Units.No.Vehicle","3.13"
"Andrews","GINI.Index","0.46"
"Andrews","Percent.Unemployed","3.92"
"Andrews","Median.Household.Income","75147"
"Andrews","Median.Household.Income.Asian",""
"Andrews","Median.Household.Income.Black",""
"Andrews","Median.Household.Income.Hispanic","61563"
"Andrews","Median.Household.Income.White","82470"
"Andrews","Percent.in.Poverty","11.22"
"Andrews","Percent.in.Poverty.Asian","0"
"Andrews","Percent.in.Poverty.Black","0"
"Andrews","Percent.in.Poverty.Hispanic","17.36"
"Andrews","Percent.in.Poverty.White","3.33"
"Andrews","Percent.Households.Food.Stamps","8.59"
"Andrews","Median.Home.Value","153200"
"Andrews","Median.Rent","1095"
"Andrews","Percent.Less.than.Highschool","23.29"
"Andrews","Percent.Highschool.Graduate","33.41"
"Andrews","Percent.with.Associate.Degree","28.37"
"Andrews","Percent.with.Bachelor.Degree","10.91"
"Andrews","Percent.with.Graduate.Degree","4.02"
"Andrews","Percent.Medicaid","12.72"
"Andrews","Percent.Medicare.Only","4.2"
"Andrews","Percent.Health.Insurance.Other","2.52"
"Andrews","Percent.No.Health.Insurance","20.14"
"Andrews","Obesity.Rate","38.2"
"Andrews","Diabetes.Rate","11.9"
"Andrews","Binge.Drinking.Rate","19.1"
"Andrews","Smoking.Rate","18.2"
"Andrews","Depression.Rate","21.4"
"Andrews","Anxiety.Disorders.Rate.Medicare","15"
"Andrews","Bipolar.Disorder.Rate.Medicare","2"
"Andrews","Depressive.Disorders.Rate.Medicare","15"
"Andrews","Personality.Disorders.Rate.Medicare","1"
"Andrews","Opioid.Overuse.Disorder.Rate.Medicare","1"
"Andrews","Birth.Defects.per.10k","436.36"
"Andrews","Deaths.from.Injury.per.100k","51.54"
"Andrews","Deaths.from.Transport.Accident.per.100k","28.51"
"Andrews","Deaths.from.Suicide.per.100k","15.35"
"Andrews","Deaths.from.Assault.per.100k",""
"Andrews","Accidental.Deaths.by.Benzodiazepines.per.100k",""
"Andrews","Accidental.Deaths.by.Cannabis.per.100k",""
"Andrews","Accidental.Deaths.by.Cocaine.per.100k",""
"Andrews","Accidental.Deaths.by.Heroin.per.100k",""
"Andrews","Accidental.Deaths.by.Methadone.per.100k",""
"Andrews","Accidental.Deaths.by.Opioids.per.100k","0"
"Andrews","Accidental.Deaths.by.Other.Narcotics.per.100k",""
"Andrews","Accidental.Deaths.by.Other.Opioids.per.100k","0"
"Andrews","Accidental.Deaths.by.Psychostimulants.per.100k",""
"Andrews","Accidental.Deaths.by.Pyschotropics.per.100k",""
"Andrews","Accidental.Deaths.by.Synthetics.per.100k",""
"Andrews","Maternal.Deaths.per.100k",""
"Andrews","Opioid.Overdose.Deaths.per.100k",""
"Andrews","Drug.Poisoning.Deaths.per.100k","12.06"
"Andrews","Opioid.Dispensing.Rate.per.100","11.6"
"Andrews","HPSA.Primary.Care.Score","12"
"Andrews","HPSA.Primary.Care.FTE.Short","1.25"
"Andrews","HPSA.Mental.FTE.Short","0.9"
"Andrews","HPSA.Mental.Score","18"
"Andrews","PCPs.per.100k","36.9"
"Andrews","Nurse.Practitioners.per.100k","69"
"Andrews","Physician.Assistants.per.100k","0"
"Andrews","Dentists.per.100k","12.3"
"Andrews","LCDCs.per.100k","4.1"
"Andrews","LPCs.per.100k","8.2"
"Andrews","LCSWs.per.100k","-"
"Andrews","Psychiatrists.per.100k","-"
"Andrews","Mental.Health.Providers.per.100k","16.04"
"Andrews","Urgent.Care.Orgs.per.100k","0"
"Andrews","Health.Centers.per.100k","0"
"Andrews","Community.Mental.Health.Centers.per.100k","0"
"Andrews","Rural.Health.Clinics.per.100k","5"
"Andrews","Home.Health.Agencies.per.100k","11"
"Andrews","Hospices.per.100k","0"
"Andrews","Nursing.Facilities.per.100k","16"
"Andrews","Nursing.Facility.Beds.per.100k","1273"
"Andrews","Skilled.Nursing.Facilities.per.100k","0"
"Andrews","Skilled.Nursing.Facility.Beds.per.100k","0"
"Andrews","Mental.Health.Facilities.per.1k","5.3"
"Andrews","Mental.Health.Facilities.Accepting.Medicare.per.1k","5.3"
"Andrews","Percent.Clinicians.Accepting.Medicaid","95.92"
"Andrews","Percent.Nursing.Homes.For.Profit",""
"Andrews","Percent.Nursing.Homes.Chain",""
"Andrews","Percent.Hospitals.Private.For.Profit","37.5"
"Andrews","Percent.Hospitals.Non.Profit","25"
"Andrews","Percent.Hospitals.Government","37.5"
"Andrews","Nursing.Home.Occupancy.Rate",""
"Andrews","Median.Distance.to.Urgent.Care","32.71"
"Andrews","Median.Distance.to.Emergency.Department","1.16"
"Andrews","Median.Distance.to.Medical.Surgical.ICU","1.16"
"Andrews","Median.Distance.to.Trauma.Center","1.16"
"Andrews","Median.Distance.to.Pediatric.ICU","94.08"
"Andrews","Median.Distance.to.Obstetrics.Department","1.16"
"Andrews","Median.Distance.to.Health.Clinic","1.16"
"Andrews","Median.Distance.to.Alcohol.Drug.Incare","33.68"
"Angelina","State","Texas"
"Angelina","FIPS.Code","48005"
"Angelina","Population","87119"
"Angelina","Economic.Region","Southeast"
"Angelina","Overall.Social.Vulnerability","0.9091"
"Angelina","Socioeconomic.Social.Vulnerability","0.8538"
"Angelina","Household.Characteristics.Social.Vulnerability","0.8814"
"Angelina","Race.Ethnicity.Social.Vulnerability","0.4664"
"Angelina","Housing.Transport.Social.Vulnerability","0.9368"
"Angelina","Median.Age","37.6"
"Angelina","Percent.Age.0.to.17","25.48"
"Angelina","Percent.Age.Over.65","16.17"
"Angelina","Percent.Asian","1.11"
"Angelina","Percent.Black","15.14"
"Angelina","Percent.Hispanic","22.29"
"Angelina","Percent.White","60.21"
"Angelina","Percent.Households_Limited_English","2.37"
"Angelina","Percent.Veteran","8.85"
"Angelina","NCHS.Rural.Urban.Code","5"
"Angelina","Percent.Households.No.Computer.Device","9.46"
"Angelina","Percent.Households.Smartphone.Only","10.96"
"Angelina","Percent.Households.No.Internet","12.7"
"Angelina","Percent.Commute.Less.than.15min","48.31"
"Angelina","Percent.Commute.15min.to.29min","32.96"
"Angelina","Percent.Commute.30min.to.59min","12.67"
"Angelina","Percent.Commute.60min.or.More","6.06"
"Angelina","Percent.Housing.Units.No.Vehicle","5.59"
"Angelina","GINI.Index","0.44"
"Angelina","Percent.Unemployed","6.7"
"Angelina","Median.Household.Income","49684"
"Angelina","Median.Household.Income.Asian","145217"
"Angelina","Median.Household.Income.Black","32037"
"Angelina","Median.Household.Income.Hispanic","51238"
"Angelina","Median.Household.Income.White","53668"
"Angelina","Percent.in.Poverty","17.35"
"Angelina","Percent.in.Poverty.Asian","9.09"
"Angelina","Percent.in.Poverty.Black","24.16"
"Angelina","Percent.in.Poverty.Hispanic","25.37"
"Angelina","Percent.in.Poverty.White","12.9"
"Angelina","Percent.Households.Food.Stamps","19.33"
"Angelina","Median.Home.Value","110500"
"Angelina","Median.Rent","826"
"Angelina","Percent.Less.than.Highschool","16.99"
"Angelina","Percent.Highschool.Graduate","30.76"
"Angelina","Percent.with.Associate.Degree","34.07"
"Angelina","Percent.with.Bachelor.Degree","12.48"
"Angelina","Percent.with.Graduate.Degree","5.71"
"Angelina","Percent.Medicaid","19.04"
"Angelina","Percent.Medicare.Only","6.34"
"Angelina","Percent.Health.Insurance.Other","5.38"
"Angelina","Percent.No.Health.Insurance","18.58"
"Angelina","Obesity.Rate","40.3"
"Angelina","Diabetes.Rate","14.9"
"Angelina","Binge.Drinking.Rate","16"
"Angelina","Smoking.Rate","21.2"
"Angelina","Depression.Rate","23.2"
"Angelina","Anxiety.Disorders.Rate.Medicare","20"
"Angelina","Bipolar.Disorder.Rate.Medicare","5"
"Angelina","Depressive.Disorders.Rate.Medicare","19"
"Angelina","Personality.Disorders.Rate.Medicare","2"
"Angelina","Opioid.Overuse.Disorder.Rate.Medicare","1"
"Angelina","Birth.Defects.per.10k","455.79"
"Angelina","Deaths.from.Injury.per.100k","51.81"
"Angelina","Deaths.from.Transport.Accident.per.100k","19.26"
"Angelina","Deaths.from.Suicide.per.100k","13.98"
"Angelina","Deaths.from.Assault.per.100k","5.04"
"Angelina","Accidental.Deaths.by.Benzodiazepines.per.100k",""
"Angelina","Accidental.Deaths.by.Cannabis.per.100k","0"
"Angelina","Accidental.Deaths.by.Cocaine.per.100k","0"
"Angelina","Accidental.Deaths.by.Heroin.per.100k",""
"Angelina","Accidental.Deaths.by.Methadone.per.100k","0"
"Angelina","Accidental.Deaths.by.Opioids.per.100k",""
"Angelina","Accidental.Deaths.by.Other.Narcotics.per.100k","0"
"Angelina","Accidental.Deaths.by.Other.Opioids.per.100k",""
"Angelina","Accidental.Deaths.by.Psychostimulants.per.100k",""
"Angelina","Accidental.Deaths.by.Pyschotropics.per.100k",""
"Angelina","Accidental.Deaths.by.Synthetics.per.100k",""
"Angelina","Maternal.Deaths.per.100k",""
"Angelina","Opioid.Overdose.Deaths.per.100k","4.81"
"Angelina","Drug.Poisoning.Deaths.per.100k","13.76"
"Angelina","Opioid.Dispensing.Rate.per.100","58.3"
"Angelina","HPSA.Primary.Care.Score",""
"Angelina","HPSA.Primary.Care.FTE.Short",""
"Angelina","HPSA.Mental.FTE.Short",""
"Angelina","HPSA.Mental.Score",""
"Angelina","PCPs.per.100k","94.5"
"Angelina","Nurse.Practitioners.per.100k","92"
"Angelina","Physician.Assistants.per.100k","22"
"Angelina","Dentists.per.100k","34.1"
"Angelina","LCDCs.per.100k","18.7"
"Angelina","LPCs.per.100k","80.2"
"Angelina","LCSWs.per.100k","18.7"
"Angelina","Psychiatrists.per.100k","19.8"
"Angelina","Mental.Health.Providers.per.100k","136.08"
"Angelina","Urgent.Care.Orgs.per.100k","1"
"Angelina","Health.Centers.per.100k","1"
"Angelina","Community.Mental.Health.Centers.per.100k","2"
"Angelina","Rural.Health.Clinics.per.100k","0"
"Angelina","Home.Health.Agencies.per.100k","9"
"Angelina","Hospices.per.100k","3"
"Angelina","Nursing.Facilities.per.100k","13"
"Angelina","Nursing.Facility.Beds.per.100k","1080"
"Angelina","Skilled.Nursing.Facilities.per.100k","2"
"Angelina","Skilled.Nursing.Facility.Beds.per.100k","53"
"Angelina","Mental.Health.Facilities.per.1k","1.15"
"Angelina","Mental.Health.Facilities.Accepting.Medicare.per.1k","1.15"
"Angelina","Percent.Clinicians.Accepting.Medicaid","98.12"
"Angelina","Percent.Nursing.Homes.For.Profit","66.67"
"Angelina","Percent.Nursing.Homes.Chain","33.33"
"Angelina","Percent.Hospitals.Private.For.Profit","75"
"Angelina","Percent.Hospitals.Non.Profit","22.06"
"Angelina","Percent.Hospitals.Government","2.94"
"Angelina","Nursing.Home.Occupancy.Rate","63.1"
"Angelina","Median.Distance.to.Urgent.Care","5.41"
"Angelina","Median.Distance.to.Emergency.Department","4.43"
"Angelina","Median.Distance.to.Medical.Surgical.ICU","4.43"
"Angelina","Median.Distance.to.Trauma.Center","4.43"
"Angelina","Median.Distance.to.Pediatric.ICU","4.62"
"Angelina","Median.Distance.to.Obstetrics.Department","4.43"
"Angelina","Median.Distance.to.Health.Clinic","4.75"
"Angelina","Median.Distance.to.Alcohol.Drug.Incare","23.65"
"Aransas","State","Texas"
"Aransas","FIPS.Code","48007"
"Aransas","Population","24220"
"Aransas","Economic.Region","South Texas"
"Aransas","Overall.Social.Vulnerability","0.7549"
"Aransas","Socioeconomic.Social.Vulnerability","0.8024"
"Aransas","Household.Characteristics.Social.Vulnerability","0.4269"
"Aransas","Race.Ethnicity.Social.Vulnerability","0.3399"
"Aransas","Housing.Transport.Social.Vulnerability","0.917"
"Aransas","Median.Age","50"
"Aransas","Percent.Age.0.to.17","20.09"
"Aransas","Percent.Age.Over.65","27.08"
"Aransas","Percent.Asian","1.14"
"Aransas","Percent.Black","0.33"
"Aransas","Percent.Hispanic","27.99"
"Aransas","Percent.White","66.95"
"Aransas","Percent.Households_Limited_English","2.62"
"Aransas","Percent.Veteran","10.54"
"Aransas","NCHS.Rural.Urban.Code","3"
"Aransas","Percent.Households.No.Computer.Device","8.75"
"Aransas","Percent.Households.Smartphone.Only","10.62"
"Aransas","Percent.Households.No.Internet","12.43"
"Aransas","Percent.Commute.Less.than.15min","45.29"
"Aransas","Percent.Commute.15min.to.29min","29.51"
"Aransas","Percent.Commute.30min.to.59min","19.8"
"Aransas","Percent.Commute.60min.or.More","5.4"
"Aransas","Percent.Housing.Units.No.Vehicle","5.83"
"Aransas","GINI.Index","0.52"
"Aransas","Percent.Unemployed","9.32"
"Aransas","Median.Household.Income","47924"
"Aransas","Median.Household.Income.Asian","37885"
"Aransas","Median.Household.Income.Black",""
"Aransas","Median.Household.Income.Hispanic","33715"
"Aransas","Median.Household.Income.White","55341"
"Aransas","Percent.in.Poverty","22.84"
"Aransas","Percent.in.Poverty.Asian","4.36"
"Aransas","Percent.in.Poverty.Black","57.89"
"Aransas","Percent.in.Poverty.Hispanic","35.02"
"Aransas","Percent.in.Poverty.White","15.7"
"Aransas","Percent.Households.Food.Stamps","14.81"
"Aransas","Median.Home.Value","183200"
"Aransas","Median.Rent","826"
"Aransas","Percent.Less.than.Highschool","12.89"
"Aransas","Percent.Highschool.Graduate","29.11"
"Aransas","Percent.with.Associate.Degree","34.83"
"Aransas","Percent.with.Bachelor.Degree","15.73"
"Aransas","Percent.with.Graduate.Degree","7.43"
"Aransas","Percent.Medicaid","16.07"
"Aransas","Percent.Medicare.Only","7.39"
"Aransas","Percent.Health.Insurance.Other","8.81"
"Aransas","Percent.No.Health.Insurance","17.73"
"Aransas","Obesity.Rate","35"
"Aransas","Diabetes.Rate","16.8"
"Aransas","Binge.Drinking.Rate","15.5"
"Aransas","Smoking.Rate","18.9"
"Aransas","Depression.Rate","21.8"
"Aransas","Anxiety.Disorders.Rate.Medicare","16"
"Aransas","Bipolar.Disorder.Rate.Medicare","3"
"Aransas","Depressive.Disorders.Rate.Medicare","16"
"Aransas","Personality.Disorders.Rate.Medicare","1"
"Aransas","Opioid.Overuse.Disorder.Rate.Medicare","2"
"Aransas","Birth.Defects.per.10k","438.6"
"Aransas","Deaths.from.Injury.per.100k","87.41"
"Aransas","Deaths.from.Transport.Accident.per.100k","20.42"
"Aransas","Deaths.from.Suicide.per.100k","38.4"
"Aransas","Deaths.from.Assault.per.100k",""
"Aransas","Accidental.Deaths.by.Benzodiazepines.per.100k","0"
"Aransas","Accidental.Deaths.by.Cannabis.per.100k","0"
"Aransas","Accidental.Deaths.by.Cocaine.per.100k",""
"Aransas","Accidental.Deaths.by.Heroin.per.100k","0"
"Aransas","Accidental.Deaths.by.Methadone.per.100k","0"
"Aransas","Accidental.Deaths.by.Opioids.per.100k",""
"Aransas","Accidental.Deaths.by.Other.Narcotics.per.100k","0"
"Aransas","Accidental.Deaths.by.Other.Opioids.per.100k","0"
"Aransas","Accidental.Deaths.by.Psychostimulants.per.100k","0"
"Aransas","Accidental.Deaths.by.Pyschotropics.per.100k","0"
"Aransas","Accidental.Deaths.by.Synthetics.per.100k",""
"Aransas","Maternal.Deaths.per.100k",""
"Aransas","Opioid.Overdose.Deaths.per.100k","10.62"
"Aransas","Drug.Poisoning.Deaths.per.100k","20.42"
"Aransas","Opioid.Dispensing.Rate.per.100","17"
"Aransas","HPSA.Primary.Care.Score","15"
"Aransas","HPSA.Primary.Care.FTE.Short","2.17"
"Aransas","HPSA.Mental.FTE.Short","0.5"
"Aransas","HPSA.Mental.Score","12"
"Aransas","PCPs.per.100k","34.8"
"Aransas","Nurse.Practitioners.per.100k","46"
"Aransas","Physician.Assistants.per.100k","17"
"Aransas","Dentists.per.100k","17.4"
"Aransas","LCDCs.per.100k","7"
"Aransas","LPCs.per.100k","31.3"
"Aransas","LCSWs.per.100k","7"
"Aransas","Psychiatrists.per.100k","3.5"
"Aransas","Mental.Health.Providers.per.100k","80.82"
"Aransas","Urgent.Care.Orgs.per.100k","0"
"Aransas","Health.Centers.per.100k","0"
"Aransas","Community.Mental.Health.Centers.per.100k","4"
"Aransas","Rural.Health.Clinics.per.100k","8"
"Aransas","Home.Health.Agencies.per.100k","0"
"Aransas","Hospices.per.100k","8"
"Aransas","Nursing.Facilities.per.100k","8"
"Aransas","Nursing.Facility.Beds.per.100k","372"
"Aransas","Skilled.Nursing.Facilities.per.100k","0"
"Aransas","Skilled.Nursing.Facility.Beds.per.100k","0"
"Aransas","Mental.Health.Facilities.per.1k","0"
"Aransas","Mental.Health.Facilities.Accepting.Medicare.per.1k","0"
"Aransas","Percent.Clinicians.Accepting.Medicaid","97.62"
"Aransas","Percent.Nursing.Homes.For.Profit","100"
"Aransas","Percent.Nursing.Homes.Chain","100"
"Aransas","Percent.Hospitals.Private.For.Profit","66.67"
"Aransas","Percent.Hospitals.Non.Profit","33.33"
"Aransas","Percent.Hospitals.Government","0"
"Aransas","Nursing.Home.Occupancy.Rate","72.83"
"Aransas","Median.Distance.to.Urgent.Care","30.47"
"Aransas","Median.Distance.to.Emergency.Department","11.47"
"Aransas","Median.Distance.to.Medical.Surgical.ICU","11.47"
"Aransas","Median.Distance.to.Trauma.Center","22.4"
"Aransas","Median.Distance.to.Pediatric.ICU","28.56"
"Aransas","Median.Distance.to.Obstetrics.Department","20.04"
"Aransas","Median.Distance.to.Health.Clinic","2.29"
"Aransas","Median.Distance.to.Alcohol.Drug.Incare","11.47"
"Archer","State","Texas"
"Archer","FIPS.Code","48009"
"Archer","Population","8754"
"Archer","Economic.Region","Northwest"
"Archer","Overall.Social.Vulnerability","0.0277"
"Archer","Socioeconomic.Social.Vulnerability","0.1225"
"Archer","Household.Characteristics.Social.Vulnerability","0.1186"
"Archer","Race.Ethnicity.Social.Vulnerability","0.0119"
"Archer","Housing.Transport.Social.Vulnerability","0.0158"
"Archer","Median.Age","44.2"
"Archer","Percent.Age.0.to.17","21.84"
"Archer","Percent.Age.Over.65","20.28"
"Archer","Percent.Asian","0.17"
"Archer","Percent.Black","1.1"
"Archer","Percent.Hispanic","8.21"
"Archer","Percent.White","88.2"
"Archer","Percent.Households_Limited_English","1.76"
"Archer","Percent.Veteran","7.66"
"Archer","NCHS.Rural.Urban.Code","4"
"Archer","Percent.Households.No.Computer.Device","11.33"
"Archer","Percent.Households.Smartphone.Only","13.75"
"Archer","Percent.Households.No.Internet","15.68"
"Archer","Percent.Commute.Less.than.15min","34.1"
"Archer","Percent.Commute.15min.to.29min","50.34"
"Archer","Percent.Commute.30min.to.59min","12.69"
"Archer","Percent.Commute.60min.or.More","2.87"
"Archer","Percent.Housing.Units.No.Vehicle","3.33"
"Archer","GINI.Index","0.47"
"Archer","Percent.Unemployed","3.68"
"Archer","Median.Household.Income","63958"
"Archer","Median.Household.Income.Asian",""
"Archer","Median.Household.Income.Black",""
"Archer","Median.Household.Income.Hispanic","41250"
"Archer","Median.Household.Income.White","66912"
"Archer","Percent.in.Poverty","11.59"
"Archer","Percent.in.Poverty.Asian","0"
"Archer","Percent.in.Poverty.Black","2.25"
"Archer","Percent.in.Poverty.Hispanic","11.77"
"Archer","Percent.in.Poverty.White","11.86"
"Archer","Percent.Households.Food.Stamps","8.17"
"Archer","Median.Home.Value","152000"
"Archer","Median.Rent","659"
"Archer","Percent.Less.than.Highschool","9.51"
"Archer","Percent.Highschool.Graduate","36.55"
"Archer","Percent.with.Associate.Degree","31.64"
"Archer","Percent.with.Bachelor.Degree","14.41"
"Archer","Percent.with.Graduate.Degree","7.9"
"Archer","Percent.Medicaid","9.44"
"Archer","Percent.Medicare.Only","6.34"
"Archer","Percent.Health.Insurance.Other","6.13"
"Archer","Percent.No.Health.Insurance","15.12"
"Archer","Obesity.Rate","35.2"
"Archer","Diabetes.Rate","12.4"
"Archer","Binge.Drinking.Rate","17.4"
"Archer","Smoking.Rate","18.1"
"Archer","Depression.Rate","22.5"
"Archer","Anxiety.Disorders.Rate.Medicare","19"
"Archer","Bipolar.Disorder.Rate.Medicare","3"
"Archer","Depressive.Disorders.Rate.Medicare","22"
"Archer","Personality.Disorders.Rate.Medicare","1"
"Archer","Opioid.Overuse.Disorder.Rate.Medicare","4"
"Archer","Birth.Defects.per.10k",""
"Archer","Deaths.from.Injury.per.100k","75.72"
"Archer","Deaths.from.Transport.Accident.per.100k","25.24"
"Archer","Deaths.from.Suicide.per.100k","27.53"
"Archer","Deaths.from.Assault.per.100k",""
"Archer","Accidental.Deaths.by.Benzodiazepines.per.100k",""
"Archer","Accidental.Deaths.by.Cannabis.per.100k",""
