"Name of City","Name of Paper","TPA Member","County Seat","Address","Address2","PO Address","PO Address2","Website","Main Phone","Main Fax","Email","circulation","County","Pub Day","founded","Page Size","Column Width","Congressional District","Representative District","State Senator District","publisher","editor","Ad Director","fips","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total.Traffic.Fatalities","Total.Traffic.Fatalities.BAC.gt.08","Percent.Traffic.Fatalities.BAC.gt.08","Traffic_Fatalities_per_100k","I_35","percent_comp","County Code","Name.y","UNC2020_Count_Papers","desert","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income","Zero_Papers","One_Or_Fewer_Papers"
"Aransas Pass","Aransas Pass Progress","*",NA,"346 S. Houston St.","Aransas Pass, TX 78336-2515","PO Box 2100","Aransas Pass, TX 78335-2100","www.aransaspassprogress.com","361-758-5391","361-758-5393","publisher@aransaspassprogress.com",1179,"San Patricio","Wednesday",1909,"6 col. x 21”","1.694","27","32, 43","27","Sonya Timpone","Mark Silberstein",NA,48409,14.8,21.6,2.4099,NA,19.6645,5.9186,2.7376,66893,221,194,6.9,71325,16,22.4,5,7,22,30.8,7,9.8,8,11.2,22,30.8,"Metropolitan Statistical Area","Central",18580,"Corpus Christi, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,27.6,5.81775870845757,7.49618209584757,23.7079069018364,1,0,0,0,0,0,0,0,1.40203294777427,0,0,0,0,0,0,0,0,0,20,5,25,28.0406589554855,"Non I-35 Corridor",0.966666666666667,"409","San Patricio",2,FALSE,0.581477997282325,0.151708138106719,0.4585,0.258903663753022,0.0686256276734238,0.107797098753952,0.0416589176120513,0.00629998140226892,0.00304537846382741,0.17547604815985,0.0499512260755491,56111,FALSE,FALSE
"Archer City","Archer County News","*","*","104 E. Walnut","Archer City, TX 76351","PO Box 1125","Archer City, TX 76351-1125","www.archercountynews.com","940-574-4569","940-574-4234","publisher@archercountynews.com",882,"Archer","Thursday",1908,"6 col. x 21”","1.611","13","69","30","Nathan Lawson","Nathan Lawson","Jenny Schroeder",48009,6.9,11.2,1.3928,NA,21.3092,4.805,1.6017,8786,18.93,13.11,3.1,8344,3,36,0,0,7,83.9,6,71.9,4,47.9,0,0,"Metropolitan Statistical Area","Outlying",48660,"Wichita Falls, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,0.5,NA,6.58878504672897,21.9790354371071,5,0,0,0,0,0,0,0,59.9232981783317,0,0,0,0,0,0,0,0,0,5,1,26,59.9232981783317,"Non I-35 Corridor",0.95,"009","Archer",1,TRUE,0.082133881654101,0.115888710048287,0.4681,0.315568475452196,0.0499031007751938,0.14405684754522,0.0518410852713178,0.0188953488372093,0.00823643410852713,0.0816965556504412,0.036766334440753,63958,FALSE,TRUE
"Athens","Athens Daily Review","*","*","201 S. Prairieville St.","Athens, TX 75751-2541","PO Box 32","Athens, TX 75751-0032","www.athensreview.com","903-675-5626","903-675-9450","lsvehlak@athensreview.com",1831,"Henderson","Tuesday / Thursday / Saturday",1901,"6 col. x 21”","1.58","5","4","3","Lange Svehlak","Michael Kormos","Lange Svehlak",48213,14.2,22.6,1.9655,0.1047,20.2836,3.4397,2.3039,82299,350,389,3.5,81179,10,12.3,17,20.9,28,34.5,18,22.2,5,6.2,43,53,"Micropolitan Statistical Area","Central",11980,"Athens, TX","Micropolitan Statistical Area-Central",4,"TX",5,3,33.3,NA,7.61655508216677,30.9357047080994,104,0,0,4,28,0,0,0,128.111950134887,0,0,4.92738269749566,34.4916788824696,0,0,0,1,1.2,21,4,20,25.8687591618522,"Non I-35 Corridor",0.966666666666667,"213","Henderson",3,FALSE,0.130854347375227,0.169914563927821,0.4723,0.269172387622037,0.0658743574705903,0.116379756442543,0.0561976058233001,0.00689964466829958,0.00367406078586953,0.127207810673323,0.0631012267231489,49469,FALSE,FALSE
"Atlanta","Cass County Citizens Journal-Sun","*",NA,"306 W. Main","Atlanta, TX 75551-2523","PO Box 1188","Atlanta, TX 75551-1188","www.casscountynow.com","903-796-7133","903-201-8022","shawn@casscountynow.com",2803,"Cass","Wednesday",1879,"6x20.5","1.57","1","1","1","Shawn Larson","Shawn Larson","Shawn Larson",48067,17.7,25.6,1.2934,NA,18.3946,3.2232,3.0179,30119,86,62,4.6,30327,3,9.9,4,13.2,11,36.3,4,13.2,3,9.9,9,29.7,NA,NA,NA,NA,NA,6,"TX",6,6,44.5,NA,8.7474520278344,20.0122356414795,9,0,0,0,0,0,0,0,29.6765258680384,0,0,0,0,0,0,0,1,3.3,10,1,7,32.9739176311538,"Non I-35 Corridor",0.866666666666667,"067","Cass",2,FALSE,0.0469635357642824,0.175291532871388,0.4491,0.356727099236641,0.0699904580152672,0.127242366412214,0.0392652671755725,0.0071087786259542,0.00949427480916031,0.151396087610767,0.0814545454545455,47539,FALSE,FALSE
"Austin","Austin American-Statesman","*","*","305 S. Congress Ave","Austin, TX 78704","PO Box 670","Austin, TX 78767-0670","www.statesman.com","512-445-3500",NA,"news@statesman.com",54055,"Travis","Daily",1871,"6 col. x 21”","1.55","10, 17, 21, 25, 31, 35","45-51, 136","14, 21","Patrick Dorsey","Manny Garcia","Andrea Vick",48453,10.2,10.9,2.4612,0.2881,18.503,3.0947,3.3085,1248743,2441,1784,2.7,1291502,386,29.9,1451,112.3,1698,131.5,176,13.6,1239,95.9,1321,102.3,"Metropolitan Statistical Area","Central",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,39.1,23.7949818166035,4.28836727670696,13.7411847710609,1975,26,2,594,1663,21,0,479,152.922720986882,2.01315987121971,0.154858451632286,45.9929601347888,128.764802532245,1.626013742139,0,37.0885991659324,241,18.7,190,48,25,14.7115529050671,"I-35 Corridor",0.983333333333333,"453","Travis",7,FALSE,0.335951215300539,0.113763659864478,0.4736,0.131880784270249,0.0254224956866984,0.324479228017175,0.135949261253271,0.0316678330480896,0.0232433256421449,0.0655787732615033,0.0431027341357521,80668,FALSE,FALSE
"Austin","Austin Business Journal","*","*","515 Congress Ave Ste 1100","Austin, TX 78701","515 Congress Ave Ste 1100","Austin, TX 78701","www.austinbusinessjournal.com","512-494-2500","512-494-2525","austin@bizjournals.com",7157,"Travis","Friday",1981,"4 col. X 13.125”","2.25","10, 17, 21, 25, 31, 35","45-51, 136","14, 21","Heather Ladage","Colin Pope","Robert Nusbaum",48453,10.2,10.9,2.4612,0.2881,18.503,3.0947,3.3085,1248743,2441,1784,2.7,1291502,386,29.9,1451,112.3,1698,131.5,176,13.6,1239,95.9,1321,102.3,"Metropolitan Statistical Area","Central",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,39.1,23.7949818166035,4.28836727670696,13.7411847710609,1975,26,2,594,1663,21,0,479,152.922720986882,2.01315987121971,0.154858451632286,45.9929601347888,128.764802532245,1.626013742139,0,37.0885991659324,241,18.7,190,48,25,14.7115529050671,"I-35 Corridor",0.983333333333333,"453","Travis",7,FALSE,0.335951215300539,0.113763659864478,0.4736,0.131880784270249,0.0254224956866984,0.324479228017175,0.135949261253271,0.0316678330480896,0.0232433256421449,0.0655787732615033,0.0431027341357521,80668,FALSE,FALSE
"Austin","West Austin News","*","*","5511 Parkcrest Dr., Suite 100","Austin, TX 78731-4950","5511 Parkcrest Dr., Suite 100","Austin, TX 78731-4950","www.westaustinnews.com","512- 459 4070",NA,NA,1030,"Travis","2nd & 4th Thursday",1986,"6 col. x 21”","1.52","10, 17, 21, 25, 31, 35","45-51, 136","14","Bart Stephens","Bart Stephens",NA,48453,10.2,10.9,2.4612,0.2881,18.503,3.0947,3.3085,1248743,2441,1784,2.7,1291502,386,29.9,1451,112.3,1698,131.5,176,13.6,1239,95.9,1321,102.3,"Metropolitan Statistical Area","Central",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,39.1,23.7949818166035,4.28836727670696,13.7411847710609,1975,26,2,594,1663,21,0,479,152.922720986882,2.01315987121971,0.154858451632286,45.9929601347888,128.764802532245,1.626013742139,0,37.0885991659324,241,18.7,190,48,25,14.7115529050671,"I-35 Corridor",0.983333333333333,"453","Travis",7,FALSE,0.335951215300539,0.113763659864478,0.4736,0.131880784270249,0.0254224956866984,0.324479228017175,0.135949261253271,0.0316678330480896,0.0232433256421449,0.0655787732615033,0.0431027341357521,80668,FALSE,FALSE
"Austin","Westlake Picayune","*","*","305 S. Congress Ave.","Austin, TX 78704","305 S. Congress Ave.","Austin, TX 78704","www.statesman.com/westlake","512-445-3863",NA,"tlabinski@statesman.com",1076,"Travis","Thursday",1976,"6 col. x 21”","1.55","10, 17, 21, 25, 31, 35","45-51, 136","14","Patrick Dorsey","Tom Labinski","Andrea Vick",48453,10.2,10.9,2.4612,0.2881,18.503,3.0947,3.3085,1248743,2441,1784,2.7,1291502,386,29.9,1451,112.3,1698,131.5,176,13.6,1239,95.9,1321,102.3,"Metropolitan Statistical Area","Central",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,39.1,23.7949818166035,4.28836727670696,13.7411847710609,1975,26,2,594,1663,21,0,479,152.922720986882,2.01315987121971,0.154858451632286,45.9929601347888,128.764802532245,1.626013742139,0,37.0885991659324,241,18.7,190,48,25,14.7115529050671,"I-35 Corridor",0.983333333333333,"453","Travis",7,FALSE,0.335951215300539,0.113763659864478,0.4736,0.131880784270249,0.0254224956866984,0.324479228017175,0.135949261253271,0.0316678330480896,0.0232433256421449,0.0655787732615033,0.0431027341357521,80668,FALSE,FALSE
"Azle","Azle News","*",NA,"321 W. Main St.","Azle, TX 76020-2903","321 W. Main St.","Azle, TX 76020-2903","www.azlenews.net","817-270-3340",NA,"Publisher@azlenews.net",2141,"Tarrant","Wednesday",1959,"6 col. x 21”","1.667","12","60, 99","9, 30","Kim Ware","David Montesino","Kim Ware",48439,10.5,15.4,1.9166,0.2814,20.7678,4.0888,3.1752,2084931,3501,2519,3.5,2143755,375,17.5,754,35.2,1826,85.2,415,19.4,1365,63.7,1793,83.6,"Metropolitan Statistical Area","Central",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",1,1,45.1,8.85987188720009,5.64653375279536,16.5802299976349,4593,42,16,314,4732,34,6,237,214.250229153984,1.95917910395544,0.746353944363978,14.6471961581431,220.734179045647,1.58600213177345,0.279882729136492,11.0553678008914,152,7.1,244,64,26,11.3818976515507,"Non I-35 Corridor",0.983333333333333,"439","Tarrant",5,FALSE,0.289970936180435,0.113635443677526,0.4519,0.199007863764581,0.0402720518364995,0.216460782186441,0.0838609512835669,0.0151977912623175,0.0105753043374161,0.101853979397768,0.0496543394511218,70306,FALSE,FALSE
"Baird","Baird Banner","*","*","312 N. 1st","Clyde, TX 79510","PO Box 979","Clyde, TX 79510","theclydejournal.com","325-893-4244","325-893-4244","clydejournal@earthlink.net",280,"Callahan","Wednesday",1997,"6 col. x 21”","1.75","25","71","10","Danny Tabor","Melinda Kevil","Melinda Kevil",48059,12.2,19,1.8114,0,17.9749,2.7868,2.601,13994,6,5,3.3,13456,3,22.3,2,14.9,4,29.7,3,22.3,2,14.9,2,14.9,"Metropolitan Statistical Area","Outlying",10180,"Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,6.7,NA,8.78319229646922,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.4,9,1,12,66.884661117717,"Non I-35 Corridor",0.966666666666667,"059","Callahan",3,FALSE,0.0982162045991833,0.0926568372361954,0.4175,0.27205292702486,0.0760825982357658,0.169306335204491,0.0423015236567763,0.0066158781074579,0.006214915797915,0.0878629932985853,0.0422670509125841,51955,FALSE,FALSE
"Ballinger","Runnels County Register","*","*","709 Hutchings Ave","Ballinger, TX 76821-5608","709 Hutchings Ave","Ballinger, TX 76821-5608","www.runnelscountyregister.com","325-365-3501","325-365-5389","bhancock@gatehousemedia.com",996,"Runnels","Thursday",1886,"6 col. x 21”","1.667","11","72","28",NA,"Derrick Stuckly",NA,48399,14.3,21.4,1.8803,0,20.188,2.7709,2.8204,10234,27.98,16.66,2.8,11009,1,9.1,2,18.2,2,18.2,2,18.2,4,36.3,9,81.8,NA,NA,NA,NA,NA,6,"TX",6,6,35.6,NA,6.95959595959596,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,9.08347715505496,"Non I-35 Corridor",0.85,"399","Runnels",3,FALSE,0.344552529182879,0.126915756786537,0.4216,0.30022766078543,0.0506545247581104,0.131758679567444,0.0276038702333523,0.00426863972680706,0.00241889584519067,0.110511436648676,0.0275010827197921,48489,FALSE,FALSE
