County Name,Body System,Birth Defect,YearText,Cases along ,"Prevalence per 10,000 Live Births along ",95% Confidence Interval: Lower,95% Confidence Interval: Upper
Brown,Total,Infants and fetuses with regular reportable birth defects,2014,20,470.59,287.45,726.79
Burleson,Total,Infants and fetuses with regular reportable birth defects,2014,7,333.33,134.02,686.79
Burnet,Total,Infants and fetuses with regular reportable birth defects,2014,30,660.79,445.83,943.32
Caldwell,Total,Infants and fetuses with regular reportable birth defects,2014,29,565.3,378.59,811.87
Calhoun,Total,Infants and fetuses with regular reportable birth defects,2014,17,561.06,326.84,898.31
Callahan,Total,Infants and fetuses with regular reportable birth defects,2014,12,740.74,382.75,"1,293.93"
Cameron,Total,Infants and fetuses with regular reportable birth defects,2014,326,449.47,400.68,498.26
Camp,Total,Infants and fetuses with regular reportable birth defects,2014,7,319.63,128.51,658.57
Carson,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Cass,Total,Infants and fetuses with regular reportable birth defects,2014,20,554.02,338.41,855.63
Castro,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Chambers,Total,Infants and fetuses with regular reportable birth defects,2014,35,736.84,513.24,"1,024.77"
Cherokee,Total,Infants and fetuses with regular reportable birth defects,2014,38,512.82,362.9,703.89
Childress,Total,Infants and fetuses with regular reportable birth defects,2014,6,731.71,268.52,"1,592.62"
Clay,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Cochran,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,801.93
Coke,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Coleman,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Collin,Total,Infants and fetuses with regular reportable birth defects,2014,660,607.18,560.85,653.5
Collingsworth,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Colorado,Total,Infants and fetuses with regular reportable birth defects,2014,15,559.7,313.26,923.14
Comal,Total,Infants and fetuses with regular reportable birth defects,2014,73,505.54,396.26,635.64
Comanche,Total,Infants and fetuses with regular reportable birth defects,2014,9,652.17,298.22,"1,238.03"
Concho,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Cooke,Total,Infants and fetuses with regular reportable birth defects,2014,35,623.89,434.56,867.67
Coryell,Total,Infants and fetuses with regular reportable birth defects,2014,59,555.03,422.52,715.95
Cottle,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Crane,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Crockett,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Crosby,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Culberson,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Dallam,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Dallas,Total,Infants and fetuses with regular reportable birth defects,2014,"2,753",692.65,666.77,718.52
Dawson,Total,Infants and fetuses with regular reportable birth defects,2014,6,361.45,132.64,786.72
Deaf Smith,Total,Infants and fetuses with regular reportable birth defects,2014,19,590.06,355.26,921.45
Delta,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Denton,Total,Infants and fetuses with regular reportable birth defects,2014,541,548.46,502.24,594.68
DeWitt,Total,Infants and fetuses with regular reportable birth defects,2014,16,553.63,316.45,899.07
Dickens,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,459.25"
Dimmit,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Donley,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Duval,Total,Infants and fetuses with regular reportable birth defects,2014,13,673.58,358.65,"1,151.83"
Eastland,Total,Infants and fetuses with regular reportable birth defects,2014,8,368.66,159.16,726.41
Ector,Total,Infants and fetuses with regular reportable birth defects,2014,187,591.58,506.79,676.38
Edwards,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
El Paso,Total,Infants and fetuses with regular reportable birth defects,2014,645,475.56,438.86,512.26
Ellis,Total,Infants and fetuses with regular reportable birth defects,2014,148,691.91,580.44,803.39
Erath,Total,Infants and fetuses with regular reportable birth defects,2014,24,453.69,290.69,675.05
Falls,Total,Infants and fetuses with regular reportable birth defects,2014,20,917.43,560.39,"1,416.90"
Fannin,Total,Infants and fetuses with regular reportable birth defects,2014,21,640.24,396.32,978.68
Fayette,Total,Infants and fetuses with regular reportable birth defects,2014,8,329.22,142.13,648.69
Fisher,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,723.31
Floyd,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Foard,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"5,269.83"
Fort Bend,Total,Infants and fetuses with regular reportable birth defects,2014,484,520.37,474.01,566.73
Franklin,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Freestone,Total,Infants and fetuses with regular reportable birth defects,2014,8,392.16,169.31,772.71
Frio,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Gaines,Total,Infants and fetuses with regular reportable birth defects,2014,18,443.35,262.76,700.68
Galveston,Total,Infants and fetuses with regular reportable birth defects,2014,253,612.44,536.97,687.91
Garza,Total,Infants and fetuses with regular reportable birth defects,2014,6,952.38,349.51,"2,072.93"
Gillespie,Total,Infants and fetuses with regular reportable birth defects,2014,8,312.5,134.92,615.75
Glasscock,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,305.55"
Goliad,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,485.38
Gonzales,Total,Infants and fetuses with regular reportable birth defects,2014,15,468.75,262.36,773.13
Gray,Total,Infants and fetuses with regular reportable birth defects,2014,11,323.53,161.5,578.88
Grayson,Total,Infants and fetuses with regular reportable birth defects,2014,70,448.72,349.8,566.93
Gregg,Total,Infants and fetuses with regular reportable birth defects,2014,88,448.98,360.09,553.16
Grimes,Total,Infants and fetuses with regular reportable birth defects,2014,16,473.37,270.57,768.73
Guadalupe,Total,Infants and fetuses with regular reportable birth defects,2014,99,554.62,450.77,675.23
Hale,Total,Infants and fetuses with regular reportable birth defects,2014,15,323.28,180.94,533.19
Hall,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Hamilton,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Hansford,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Hardeman,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Hardin,Total,Infants and fetuses with regular reportable birth defects,2014,31,447.98,304.38,635.87
Harris,Total,Infants and fetuses with regular reportable birth defects,2014,"3,866",542,524.92,559.09
Harrison,Total,Infants and fetuses with regular reportable birth defects,2014,39,458.28,325.88,626.49
Hartley,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,614.81
Haskell,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Hays,Total,Infants and fetuses with regular reportable birth defects,2014,108,456.47,370.38,542.56
Hemphill,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Henderson,Total,Infants and fetuses with regular reportable birth defects,2014,52,586.91,438.33,769.65
Hidalgo,Total,Infants and fetuses with regular reportable birth defects,2014,988,605.21,567.47,642.94
Hill,Total,Infants and fetuses with regular reportable birth defects,2014,28,677.97,450.5,979.85
Hockley,Total,Infants and fetuses with regular reportable birth defects,2014,15,483.87,270.82,798.07
Hood,Total,Infants and fetuses with regular reportable birth defects,2014,32,554.59,379.34,782.92
Hopkins,Total,Infants and fetuses with regular reportable birth defects,2014,23,488.32,309.55,732.72
Houston,Total,Infants and fetuses with regular reportable birth defects,2014,9,434.78,198.81,825.35
Howard,Total,Infants and fetuses with regular reportable birth defects,2014,39,754.35,536.42,"1,031.22"
Hudspeth,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Hunt,Total,Infants and fetuses with regular reportable birth defects,2014,73,638.11,500.18,802.33
Hutchinson,Total,Infants and fetuses with regular reportable birth defects,2014,14,456.03,249.31,765.13
Irion,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,634.91"
Jack,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Jackson,Total,Infants and fetuses with regular reportable birth defects,2014,8,396.04,170.98,780.36
Jasper,Total,Infants and fetuses with regular reportable birth defects,2014,12,303.8,156.98,530.67
Jeff Davis,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,305.55"
Jefferson,Total,Infants and fetuses with regular reportable birth defects,2014,174,478.94,407.78,550.11
Jim Hogg,Total,Infants and fetuses with regular reportable birth defects,2014,7,752.69,302.62,"1,550.83"
Jim Wells,Total,Infants and fetuses with regular reportable birth defects,2014,44,602.74,437.95,809.15
Johnson,Total,Infants and fetuses with regular reportable birth defects,2014,137,678.22,564.65,791.79
Jones,Total,Infants and fetuses with regular reportable birth defects,2014,15,810.81,453.8,"1,337.31"
Karnes,Total,Infants and fetuses with regular reportable birth defects,2014,6,314.14,115.28,683.74
Kaufman,Total,Infants and fetuses with regular reportable birth defects,2014,105,688.07,556.46,819.69
Kendall,Total,Infants and fetuses with regular reportable birth defects,2014,12,332.41,171.76,580.65
Kenedy,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,---,---
Kent,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Kerr,Total,Infants and fetuses with regular reportable birth defects,2014,29,532.11,356.36,764.2
Kimble,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
King,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,---,---
Kinney,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,"1,475.55"
Kleberg,Total,Infants and fetuses with regular reportable birth defects,2014,18,375.78,222.71,593.9
Knox,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
La Salle,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Lamar,Total,Infants and fetuses with regular reportable birth defects,2014,24,332.41,212.98,494.6
Lamb,Total,Infants and fetuses with regular reportable birth defects,2014,14,703.52,384.62,"1,180.38"
Lampasas,Total,Infants and fetuses with regular reportable birth defects,2014,12,483.87,250.02,845.23
Lavaca,Total,Infants and fetuses with regular reportable birth defects,2014,13,537.19,286.03,918.61
Lee,Total,Infants and fetuses with regular reportable birth defects,2014,12,535.71,276.81,935.79
Leon,Total,Infants and fetuses with regular reportable birth defects,2014,13,634.15,337.66,"1,084.41"
Liberty,Total,Infants and fetuses with regular reportable birth defects,2014,62,573.01,439.33,734.58
Limestone,Total,Infants and fetuses with regular reportable birth defects,2014,13,380.12,202.4,650.01
Lipscomb,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,857.88
Live Oak,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Llano,Total,Infants and fetuses with regular reportable birth defects,2014,9,559.01,255.61,"1,061.17"
Loving,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,---,---
Lubbock,Total,Infants and fetuses with regular reportable birth defects,2014,294,693.89,614.57,773.21
Lynn,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Madison,Total,Infants and fetuses with regular reportable birth defects,2014,10,602.41,288.88,"1,107.85"
Marion,Total,Infants and fetuses with regular reportable birth defects,2014,8,919.54,396.99,"1,811.86"
Martin,Total,Infants and fetuses with regular reportable birth defects,2014,7,588.24,236.5,"1,211.99"
Mason,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Matagorda,Total,Infants and fetuses with regular reportable birth defects,2014,30,524.48,353.86,748.72
Maverick,Total,Infants and fetuses with regular reportable birth defects,2014,46,392.83,287.6,523.98
McCulloch,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
McLennan,Total,Infants and fetuses with regular reportable birth defects,2014,234,646.94,564.05,729.84
McMullen,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"3,074.07"
Medina,Total,Infants and fetuses with regular reportable birth defects,2014,27,448.5,295.57,652.55
Menard,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Midland,Total,Infants and fetuses with regular reportable birth defects,2014,152,537.86,452.35,623.37
Milam,Total,Infants and fetuses with regular reportable birth defects,2014,27,813.25,535.94,"1,183.24"
Mills,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Mitchell,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Montague,Total,Infants and fetuses with regular reportable birth defects,2014,9,409.09,187.06,776.58
Montgomery,Total,Infants and fetuses with regular reportable birth defects,2014,404,579.71,523.18,636.24
Moore,Total,Infants and fetuses with regular reportable birth defects,2014,22,522.57,327.49,791.17
Morris,Total,Infants and fetuses with regular reportable birth defects,2014,6,419.58,153.98,913.25
Motley,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,---,---
Nacogdoches,Total,Infants and fetuses with regular reportable birth defects,2014,45,507.9,370.47,679.61
Navarro,Total,Infants and fetuses with regular reportable birth defects,2014,40,520.83,372.09,709.23
Newton,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Nolan,Total,Infants and fetuses with regular reportable birth defects,2014,11,474.14,236.69,848.36
Nueces,Total,Infants and fetuses with regular reportable birth defects,2014,218,421.83,365.83,477.82
Ochiltree,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Oldham,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Orange,Total,Infants and fetuses with regular reportable birth defects,2014,50,422.3,313.44,556.75
Palo Pinto,Total,Infants and fetuses with regular reportable birth defects,2014,17,470.91,274.32,753.98
Panola,Total,Infants and fetuses with regular reportable birth defects,2014,14,477.82,261.23,801.69
Parker,Total,Infants and fetuses with regular reportable birth defects,2014,83,583.68,464.9,723.57
Parmer,Total,Infants and fetuses with regular reportable birth defects,2014,6,416.67,152.91,906.91
Pecos,Total,Infants and fetuses with regular reportable birth defects,2014,7,308.37,123.98,635.36
Polk,Total,Infants and fetuses with regular reportable birth defects,2014,18,378.95,224.59,598.9
Potter,Total,Infants and fetuses with regular reportable birth defects,2014,103,497.34,401.29,593.39
Presidio,Total,Infants and fetuses with regular reportable birth defects,2014,7,489.51,196.81,"1,008.58"
Rains,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Randall,Total,Infants and fetuses with regular reportable birth defects,2014,90,510.78,410.73,627.84
Reagan,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Real,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Red River,Total,Infants and fetuses with regular reportable birth defects,2014,9,708.66,324.05,"1,345.26"
Reeves,Total,Infants and fetuses with regular reportable birth defects,2014,6,298.51,109.55,649.72
Refugio,Total,Infants and fetuses with regular reportable birth defects,2014,6,645.16,236.76,"1,404.24"
Roberts,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Robertson,Total,Infants and fetuses with regular reportable birth defects,2014,15,638.3,357.25,"1,052.78"
Rockwall,Total,Infants and fetuses with regular reportable birth defects,2014,79,802.03,634.98,999.57
Runnels,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Rusk,Total,Infants and fetuses with regular reportable birth defects,2014,27,468.75,308.91,682.01
Sabine,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
San Augustine,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
San Jacinto,Total,Infants and fetuses with regular reportable birth defects,2014,12,422.54,218.33,738.08
San Patricio,Total,Infants and fetuses with regular reportable birth defects,2014,54,515.76,387.45,672.95
San Saba,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Schleicher,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Scurry,Total,Infants and fetuses with regular reportable birth defects,2014,19,727.97,438.29,"1,136.81"
Shackelford,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Shelby,Total,Infants and fetuses with regular reportable birth defects,2014,14,400,218.68,671.13
Sherman,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Smith,Total,Infants and fetuses with regular reportable birth defects,2014,203,644.85,556.14,733.56
Somervell,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Starr,Total,Infants and fetuses with regular reportable birth defects,2014,82,593.34,471.9,736.49
Stephens,Total,Infants and fetuses with regular reportable birth defects,2014,6,625,229.36,"1,360.36"
Sterling,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Stonewall,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,169.93"
Sutton,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Swisher,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Tarrant,Total,Infants and fetuses with regular reportable birth defects,2014,"1,996",703.16,672.32,734.01
Taylor,Total,Infants and fetuses with regular reportable birth defects,2014,99,466.98,379.54,568.53
Terrell,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,049.38"
Terry,Total,Infants and fetuses with regular reportable birth defects,2014,15,714.29,399.78,"1,178.11"
Throckmorton,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"2,634.91"
Titus,Total,Infants and fetuses with regular reportable birth defects,2014,27,500,329.5,727.47
Tom Green,Total,Infants and fetuses with regular reportable birth defects,2014,84,504.2,402.17,624.24
Travis,Total,Infants and fetuses with regular reportable birth defects,2014,803,490.53,456.6,524.46
Trinity,Total,Infants and fetuses with regular reportable birth defects,2014,7,445.86,179.26,918.64
Tyler,Total,Infants and fetuses with regular reportable birth defects,2014,6,280.37,102.89,610.26
Upshur,Total,Infants and fetuses with regular reportable birth defects,2014,30,611,412.24,872.24
Upton,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Uvalde,Total,Infants and fetuses with regular reportable birth defects,2014,16,391.2,223.6,635.28
Val Verde,Total,Infants and fetuses with regular reportable birth defects,2014,50,577.37,428.53,761.19
Van Zandt,Total,Infants and fetuses with regular reportable birth defects,2014,45,792.25,577.88,"1,060.10"
Victoria,Total,Infants and fetuses with regular reportable birth defects,2014,61,466,356.46,598.6
Walker,Total,Infants and fetuses with regular reportable birth defects,2014,28,415.43,276.05,600.41
Waller,Total,Infants and fetuses with regular reportable birth defects,2014,32,480.48,328.65,678.3
Ward,Total,Infants and fetuses with regular reportable birth defects,2014,8,427.81,184.7,842.95
Washington,Total,Infants and fetuses with regular reportable birth defects,2014,25,602.41,389.85,889.28
Webb,Total,Infants and fetuses with regular reportable birth defects,2014,230,418.87,364.73,473
Wharton,Total,Infants and fetuses with regular reportable birth defects,2014,23,417.42,264.61,626.34
Wheeler,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Wichita,Total,Infants and fetuses with regular reportable birth defects,2014,60,330.58,252.27,425.52
Wilbarger,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Willacy,Total,Infants and fetuses with regular reportable birth defects,2014,8,273.04,117.88,537.99
Williamson,Total,Infants and fetuses with regular reportable birth defects,2014,332,514.89,459.5,570.27
Wilson,Total,Infants and fetuses with regular reportable birth defects,2014,37,719.84,506.84,992.21
Winkler,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Wise,Total,Infants and fetuses with regular reportable birth defects,2014,40,518.13,370.16,705.55
Wood,Total,Infants and fetuses with regular reportable birth defects,2014,19,456.73,274.98,713.24
Yoakum,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Young,Total,Infants and fetuses with regular reportable birth defects,2014,9,391.3,178.93,742.82
Zapata,Total,Infants and fetuses with regular reportable birth defects,2014,9,292.21,133.62,554.7
Zavala,Total,Infants and fetuses with regular reportable birth defects,2014,11,558.38,278.74,999.09
