County Name,Body System,Birth Defect,YearText,Cases along ,"Prevalence per 10,000 Live Births along ",95% Confidence Interval: Lower,95% Confidence Interval: Upper
Reagan,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Real,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Red River,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Reeves,Total,Infants and fetuses with regular reportable birth defects,2016,13,619.05,329.62,"1,058.59"
Refugio,Total,Infants and fetuses with regular reportable birth defects,2016,6,681.82,250.22,"1,484.03"
Roberts,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Robertson,Total,Infants and fetuses with regular reportable birth defects,2016,15,721.15,403.62,"1,189.43"
Rockwall,Total,Infants and fetuses with regular reportable birth defects,2016,72,679.25,531.47,855.4
Runnels,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Rusk,Total,Infants and fetuses with regular reportable birth defects,2016,18,304.05,180.2,480.54
Sabine,Total,Infants and fetuses with regular reportable birth defects,2016,6,576.92,211.72,"1,255.72"
San Augustine,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
San Jacinto,Total,Infants and fetuses with regular reportable birth defects,2016,17,564.78,329.01,904.27
San Patricio,Total,Infants and fetuses with regular reportable birth defects,2016,67,648.6,502.65,823.69
San Saba,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Schleicher,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,"1,117.84"
Scurry,Total,Infants and fetuses with regular reportable birth defects,2016,17,639.1,372.3,"1,023.26"
Shackelford,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,"1,084.96"
Shelby,Total,Infants and fetuses with regular reportable birth defects,2016,13,331.63,176.58,567.1
Sherman,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Smith,Total,Infants and fetuses with regular reportable birth defects,2016,223,708.16,615.21,801.11
Somervell,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Starr,Total,Infants and fetuses with regular reportable birth defects,2016,91,735.06,591.82,902.49
Stephens,Total,Infants and fetuses with regular reportable birth defects,2016,7,864.2,347.45,"1,780.58"
Sterling,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Stonewall,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Sutton,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Swisher,Total,Infants and fetuses with regular reportable birth defects,2016,10,"1,219.51",584.8,"2,242.73"
Tarrant,Total,Infants and fetuses with regular reportable birth defects,2016,"2,030",709.12,678.27,739.97
Taylor,Total,Infants and fetuses with regular reportable birth defects,2016,127,624.69,516.04,733.34
Terrell,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"4,098.75"
Terry,Total,Infants and fetuses with regular reportable birth defects,2016,16,855.61,489.06,"1,389.47"
Throckmorton,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Titus,Total,Infants and fetuses with regular reportable birth defects,2016,32,633.66,433.43,894.54
Tom Green,Total,Infants and fetuses with regular reportable birth defects,2016,96,618.16,500.71,754.88
Travis,Total,Infants and fetuses with regular reportable birth defects,2016,877,548.98,512.65,585.32
Trinity,Total,Infants and fetuses with regular reportable birth defects,2016,10,714.29,342.53,"1,313.60"
Tyler,Total,Infants and fetuses with regular reportable birth defects,2016,8,398.01,171.83,784.24
Upshur,Total,Infants and fetuses with regular reportable birth defects,2016,21,434.78,269.14,664.61
Upton,Total,Infants and fetuses with regular reportable birth defects,2016,10,"1,639.34",786.13,"3,014.81"
Uvalde,Total,Infants and fetuses with regular reportable birth defects,2016,24,629.92,403.6,937.27
Val Verde,Total,Infants and fetuses with regular reportable birth defects,2016,50,563.7,418.39,743.17
Van Zandt,Total,Infants and fetuses with regular reportable birth defects,2016,37,586.37,412.86,808.24
Victoria,Total,Infants and fetuses with regular reportable birth defects,2016,65,511.01,394.38,651.32
Walker,Total,Infants and fetuses with regular reportable birth defects,2016,35,548.59,382.11,762.96
Waller,Total,Infants and fetuses with regular reportable birth defects,2016,37,573.64,403.9,790.69
Ward,Total,Infants and fetuses with regular reportable birth defects,2016,12,722.89,373.53,"1,262.75"
Washington,Total,Infants and fetuses with regular reportable birth defects,2016,20,476.19,290.87,735.44
Webb,Total,Infants and fetuses with regular reportable birth defects,2016,286,552.55,488.51,616.59
Wharton,Total,Infants and fetuses with regular reportable birth defects,2016,36,633.8,443.91,877.45
Wheeler,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Wichita,Total,Infants and fetuses with regular reportable birth defects,2016,58,356.27,270.53,460.56
Wilbarger,Total,Infants and fetuses with regular reportable birth defects,2016,7,457.52,183.95,942.66
Willacy,Total,Infants and fetuses with regular reportable birth defects,2016,17,582.19,339.15,932.15
Williamson,Total,Infants and fetuses with regular reportable birth defects,2016,335,514.43,459.35,569.52
Wilson,Total,Infants and fetuses with regular reportable birth defects,2016,30,559.7,377.63,799.01
Winkler,Total,Infants and fetuses with regular reportable birth defects,2016,8,754.72,325.83,"1,487.09"
Wise,Total,Infants and fetuses with regular reportable birth defects,2016,48,648.65,478.26,860.01
Wood,Total,Infants and fetuses with regular reportable birth defects,2016,30,740.74,499.77,"1,057.45"
Yoakum,Total,Infants and fetuses with regular reportable birth defects,2016,9,502.79,229.91,954.46
Young,Total,Infants and fetuses with regular reportable birth defects,2016,12,533.33,275.58,931.63
Zapata,Total,Infants and fetuses with regular reportable birth defects,2016,14,534.35,292.13,896.55
Zavala,Total,Infants and fetuses with regular reportable birth defects,2016,11,607.73,303.38,"1,087.41"
