County,2015,2016,2017,2018,2019,2020
GONZALES,*,0,*,*,0,*
GRAY,0,0,0,0,*,*
GRAYSON,*,*,*,*,*,*
GREGG,0,*,*,*,*,*
GRIMES,*,0,*,0,*,*
GUADALUPE,*,*,*,*,*,*
HALE,*,0,0,*,*,*
HAMILTON,0,0,0,0,*,0
HARDIN,*,*,0,*,*,*
HARRIS,71,87,103,119,174,307
HARRISON,*,0,0,*,*,*
HAYS,*,*,*,*,*,*
HENDERSON,*,*,*,*,10,*
HIDALGO,*,*,*,*,*,11
HILL,*,0,*,*,*,*
HOCKLEY,0,0,0,*,*,*
HOOD,*,*,*,0,*,*
HOPKINS,0,*,*,*,0,*
HOUSTON,0,0,0,*,0,0
HOWARD,*,*,*,0,*,*
HUNT,*,*,*,*,*,*
HUTCHINSON,*,*,0,0,*,*
JACK,*,*,*,*,*,*
JACKSON,0,*,0,0,0,0
JASPER,*,*,*,*,*,*
JEFFERSON,*,*,*,*,16,15
JIM WELLS,0,*,0,0,0,*
JOHNSON,*,*,*,*,*,10
JONES,0,*,0,0,0,*
KARNES,0,*,0,*,0,*
KAUFMAN,*,*,*,*,10,*
KENDALL,0,0,*,*,0,*
KERR,*,*,*,*,*,*
LAMAR,*,*,0,*,0,*
LAMB,0,0,0,*,0,0
LAMPASAS,*,0,0,0,*,*
LA SALLE,0,0,*,0,0,*
LAVACA,0,0,*,*,*,*
LEE,*,*,*,0,0,*
LEON,*,0,*,0,*,*
LIBERTY,*,*,*,*,*,*
LIMESTONE,0,*,0,*,*,*
LIPSCOMB,0,0,0,*,0,0
LIVE OAK,0,0,*,0,0,0
LLANO,*,*,*,*,0,*
LUBBOCK,*,*,15,19,20,*
LYNN,0,0,0,0,*,0
MCCULLOCH,0,0,0,0,0,*
MCLENNAN,*,*,*,*,11,10
MADISON,*,0,0,*,0,*
MARION,*,0,*,0,*,0
MARTIN,0,0,0,0,0,*
MATAGORDA,0,*,0,*,*,*
MEDINA,0,*,0,*,*,0
MIDLAND,*,0,*,*,*,*
MILAM,0,0,*,0,*,*
MILLS,0,*,0,0,*,0
MONTAGUE,*,*,*,*,*,*
MONTGOMERY,10,10,22,24,32,48
MOORE,0,*,0,0,0,*
NACOGDOCHES,*,*,*,*,*,*
NAVARRO,*,*,0,*,*,0
NEWTON,0,*,*,*,*,*
NOLAN,0,0,0,0,*,*
NUECES,*,16,11,10,15,25
ORANGE,*,0,*,*,*,15
PALO PINTO,*,0,*,0,*,*
PANOLA,0,*,*,0,*,0
PARKER,*,0,*,*,*,*
PECOS,0,*,0,0,0,0
POLK,*,*,0,*,*,*
POTTER,*,*,*,*,*,15
RAINS,*,0,*,0,*,0
RANDALL,*,*,*,*,*,*
REAGAN,0,0,0,0,*,0
RED RIVER,*,*,0,0,0,*
REEVES,0,0,*,0,*,*
REFUGIO,*,0,*,0,0,0
ROBERTSON,0,0,0,*,0,*
ROCKWALL,*,*,0,*,0,*
RUSK,*,0,*,*,*,*
SAN AUGUSTINE,0,0,0,0,*,*
SAN JACINTO,*,*,*,0,*,*
SAN PATRICIO,*,*,0,*,*,*
SAN SABA,0,0,0,*,0,0
SHACKELFORD,0,0,0,0,*,0
SHELBY,0,*,0,0,*,0
SMITH,*,*,*,*,*,*
SOMERVELL,0,0,0,0,*,0
STARR,0,0,0,*,0,0
SWISHER,0,*,0,0,0,0
TARRANT,39,39,41,36,49,88
TAYLOR,*,*,*,*,*,*
TERRY,0,*,*,0,0,0
TITUS,0,0,*,0,*,*
TOM GREEN,*,*,*,0,*,*
TRAVIS,21,40,25,50,63,89
TRINITY,0,*,0,*,0,*
TYLER,0,0,0,*,*,*
UPSHUR,0,0,0,*,*,0
UVALDE,0,*,0,0,*,*
VAL VERDE,0,*,*,0,0,*
VAN ZANDT,*,*,*,*,*,*
VICTORIA,*,0,*,*,*,*
WALKER,0,*,*,*,*,*
WALLER,*,0,*,*,0,*
WARD,*,0,0,*,0,*
WASHINGTON,0,0,*,*,*,*
WEBB,*,*,*,*,0,*
WHARTON,0,*,*,0,0,*
WICHITA,*,*,*,*,*,12
WILBARGER,*,0,0,0,*,0
WILLIAMSON,*,*,*,*,*,*
WILSON,0,0,0,*,*,*
WISE,*,*,*,*,*,*
WOOD,*,0,*,*,*,*
YOUNG,0,*,0,*,*,*
ZAVALA,0,0,0,0,*,0
Total,432,552,625,763,"1,018","1,445"
