County,2015,2016,2017,2018,2019,2020
GRAY,0,0,*,0,0,*
GRAYSON,*,*,*,*,*,*
GREGG,*,*,*,*,*,*
GRIMES,0,*,*,0,*,*
GUADALUPE,*,*,*,*,*,*
HALE,*,0,*,*,0,*
HAMILTON,*,*,0,*,0,*
HARDIN,*,*,*,*,*,*
HARRIS,228,236,261,268,307,489
HARRISON,*,*,*,*,*,*
HASKELL,0,0,0,*,0,0
HAYS,*,*,*,*,*,*
HEMPHILL,0,0,0,0,*,0
HENDERSON,*,*,*,*,*,*
HIDALGO,11,*,*,*,*,14
HILL,*,*,0,*,*,*
HOCKLEY,*,0,0,0,*,*
HOOD,*,0,*,*,*,10
HOPKINS,0,*,*,*,*,*
HOUSTON,0,*,*,0,*,*
HOWARD,*,0,0,*,*,*
HUNT,*,*,*,*,*,*
HUTCHINSON,0,*,0,*,*,*
JACK,0,0,*,0,0,0
JACKSON,*,*,0,*,*,0
JASPER,*,*,0,0,0,*
JEFFERSON,*,10,*,11,12,24
JIM WELLS,*,*,*,0,0,*
JOHNSON,*,*,11,*,12,13
JONES,0,0,0,0,0,*
KARNES,*,0,0,0,0,0
KAUFMAN,*,*,*,*,11,*
KENDALL,*,0,*,0,*,*
KERR,*,*,*,*,*,*
KIMBLE,*,0,0,0,0,0
KLEBERG,*,0,*,*,0,0
LAMAR,*,*,*,*,*,0
LAMB,0,0,0,0,0,*
LAMPASAS,0,0,0,0,0,*
LA SALLE,*,0,0,0,0,0
LAVACA,0,0,0,*,0,0
LEE,*,0,*,0,0,0
LEON,0,*,*,0,*,*
LIBERTY,*,*,*,*,*,12
LIMESTONE,0,*,0,0,0,*
LIVE OAK,*,0,0,0,0,0
LLANO,0,*,0,*,0,0
LUBBOCK,15,20,17,14,17,12
LYNN,0,0,0,0,*,0
MCCULLOCH,0,0,0,0,0,*
MCLENNAN,10,*,*,10,*,12
MADISON,*,0,*,0,0,0
MARION,0,*,*,*,0,*
MARTIN,0,0,0,*,0,*
MATAGORDA,*,*,0,0,*,*
MAVERICK,0,*,0,0,0,*
MENARD,0,*,0,0,0,*
MIDLAND,*,*,*,*,*,14
MILAM,*,0,*,0,0,0
MILLS,0,*,0,0,*,0
MITCHELL,0,0,*,0,0,*
MONTAGUE,*,0,*,*,0,*
MONTGOMERY,29,37,56,40,43,67
MOORE,0,0,0,*,0,0
MORRIS,*,0,0,0,*,*
NACOGDOCHES,12,*,*,*,0,*
NAVARRO,*,0,*,0,*,*
NEWTON,*,0,0,0,0,*
NOLAN,*,0,0,*,*,0
NUECES,31,25,26,25,11,28
OCHILTREE,*,0,0,0,0,0
ORANGE,*,*,10,*,*,15
PALO PINTO,*,*,*,*,*,0
PANOLA,*,*,*,0,0,*
PARKER,*,*,*,*,*,10
PECOS,0,0,0,*,0,0
POLK,*,*,*,*,*,*
POTTER,*,*,*,*,16,12
RAINS,*,*,*,*,0,0
RANDALL,*,*,*,*,*,*
REAGAN,0,*,0,0,0,0
RED RIVER,0,*,0,0,0,*
REEVES,*,*,*,*,*,*
REFUGIO,*,0,0,*,0,0
ROBERTSON,*,0,*,0,*,0
ROCKWALL,*,*,*,*,*,*
RUSK,*,*,0,*,*,*
SABINE,0,0,*,*,0,0
SAN AUGUSTINE,0,0,*,0,0,*
SAN JACINTO,0,*,*,*,*,*
SAN PATRICIO,*,*,*,*,*,*
SAN SABA,0,*,0,0,0,0
SCHLEICHER,0,0,0,0,0,*
SCURRY,0,*,*,0,0,*
SHELBY,0,*,0,0,0,0
SMITH,15,*,*,*,*,*
SOMERVELL,*,0,0,0,0,*
STARR,0,0,0,*,*,*
TARRANT,76,87,100,81,75,165
TAYLOR,*,*,*,*,*,*
TERRELL,0,*,0,0,0,0
TERRY,0,0,0,*,0,0
TITUS,0,0,0,0,*,0
TOM GREEN,*,*,*,0,*,*
TRAVIS,77,88,83,96,85,109
TRINITY,*,0,0,0,0,*
TYLER,*,*,0,*,*,0
UPSHUR,0,*,*,*,*,0
UPTON,*,0,0,0,*,*
UVALDE,0,0,0,*,*,0
VAL VERDE,*,*,*,0,0,*
VAN ZANDT,*,*,*,*,*,*
VICTORIA,*,*,*,*,*,*
WALKER,*,0,*,*,*,*
WALLER,*,*,*,*,*,*
WARD,*,0,*,0,0,*
WASHINGTON,0,0,*,*,*,*
WEBB,15,16,24,14,12,36
WHARTON,0,*,*,*,*,*
WHEELER,0,*,0,0,0,0
WICHITA,*,*,*,*,*,*
WILLACY,0,0,*,*,0,*
WILLIAMSON,16,21,14,15,20,23
WILSON,0,0,0,*,*,*
WINKLER,0,0,0,0,*,*
WISE,*,*,*,*,*,*
WOOD,*,*,*,*,*,*
YOAKUM,0,0,0,0,0,*
YOUNG,*,0,*,*,0,0
ZAPATA,0,*,*,0,0,*
ZAVALA,0,0,0,0,*,0
Total,"1,172","1,254","1,298","1,237","1,372","1,982"
