Area,Age group,Race,Sex,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anderson,All,Black,All,Rate,-0.01,48.94,41.23,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Anderson,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Anderson,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Andrews,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Andrews,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,All,All,Cases,13,13,8,7,10,8,8,12,12,5
Angelina,All,All,All,Rate,14.96,14.89,9.14,8.02,11.42,9.11,9.12,13.7,13.82,5.77
Angelina,All,All,Female,Cases,6,--,--,--,--,--,--,--,--,--
Angelina,All,All,Female,Rate,13.53,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,All,Male,Cases,7,9,5,7,6,6,7,9,10,5
Angelina,All,All,Male,Rate,16.44,21.02,11.69,16.38,14.03,13.99,16.33,21.07,23.61,11.81
Angelina,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Black,All,Cases,5,5,--,--,7,--,--,6,--,--
Angelina,All,Black,All,Rate,38.71,38.61,-0.01,-0.01,53.54,-0.01,-0.01,46.45,-0.01,-0.01
Angelina,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Black,Male,Cases,--,--,--,--,--,--,--,5,--,--
Angelina,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,82.58,-0.01,-0.01
Angelina,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Angelina,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Angelina,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,All,All,Cases,--,--,--,--,--,--,5,--,--,--
Aransas,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,19.87,-0.01,-0.01,-0.01
Aransas,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Aransas,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Aransas,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Archer,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Archer,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Armstrong,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Armstrong,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Armstrong,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Armstrong,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Armstrong,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Armstrong,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Armstrong,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
