COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
CASTRO ,Psychiatrist,"6,938",0,-,-,0
CARSON ,Psychiatrist,"5,768",0,-,-,0
CAMP ,Psychiatrist,"13,515",0,-,-,0
CALHOUN ,Psychiatrist,"23,065",0,-,-,0
CALDWELL ,Psychiatrist,"45,617",0,-,-,0
BURLESON ,Psychiatrist,"17,841",0,-,-,0
BROOKS ,Psychiatrist,"7,153",0,-,-,0
BRISCOE ,Psychiatrist,"1,556",0,-,-,0
BREWSTER ,Psychiatrist,"9,067",0,-,-,0
BOSQUE ,Psychiatrist,"17,682",0,-,-,0
BORDEN ,Psychiatrist,698,0,-,-,0
BLANCO ,Psychiatrist,"11,694",0,-,-,0
BEE ,Psychiatrist,"34,943",0,-,-,0
BAYLOR ,Psychiatrist,"3,617",0,-,-,0
BANDERA ,Psychiatrist,"21,389",0,-,-,0
BAILEY ,Psychiatrist,"7,810",0,-,-,0
ARMSTRONG ,Psychiatrist,"1,947",0,-,-,0
ARCHER ,Psychiatrist,"8,264",0,-,-,0
ANDREWS ,Psychiatrist,"24,369",0,-,-,0
