County,2015,2016,2017,2018,2019,2020
LUBBOCK,10,15,17,24,24,11
LYNN,0,0,0,0,*,0
MCCULLOCH,0,0,0,0,0,*
MCLENNAN,*,11,*,10,11,11
MADISON,*,0,0,*,0,*
MARION,*,0,*,0,*,*
MARTIN,0,0,0,0,0,*
MATAGORDA,0,*,0,*,*,*
MEDINA,0,*,0,*,*,0
MIDLAND,*,0,*,*,*,*
MILAM,*,0,*,0,*,*
MILLS,0,*,0,0,*,0
MONTAGUE,*,*,*,*,*,*
MONTGOMERY,13,25,43,34,39,57
MOORE,0,*,0,0,0,*
NACOGDOCHES,*,*,*,*,*,*
NAVARRO,*,*,0,*,*,*
NEWTON,0,*,*,*,*,*
NOLAN,0,0,0,0,*,*
NUECES,*,18,13,15,15,25
ORANGE,*,0,10,*,*,15
PALO PINTO,*,*,*,*,*,*
PANOLA,*,*,*,0,*,0
PARKER,*,*,*,*,*,*
PECOS,0,*,0,0,0,0
POLK,*,*,0,*,*,*
POTTER,*,*,*,*,*,15
RAINS,*,0,*,0,*,0
RANDALL,*,*,*,*,*,*
REAGAN,0,0,0,0,*,0
RED RIVER,*,*,0,0,0,*
REEVES,0,0,*,0,*,*
REFUGIO,*,0,*,*,0,0
ROBERTSON,0,0,0,*,0,*
ROCKWALL,*,*,0,*,0,*
RUSK,*,0,*,*,*,*
SABINE,0,0,0,*,0,0
SAN AUGUSTINE,0,0,0,0,*,*
SAN JACINTO,*,*,*,0,*,*
SAN PATRICIO,*,*,0,*,*,*
SAN SABA,0,0,0,*,0,0
SCURRY,0,*,0,0,0,0
SHACKELFORD,0,0,0,0,*,0
SHELBY,0,*,0,0,*,0
SMITH,*,*,*,*,10,*
SOMERVELL,0,0,0,0,*,0
STARR,0,0,0,*,0,0
SWISHER,0,*,0,0,0,0
TARRANT,51,55,48,47,59,101
TAYLOR,*,*,*,*,*,*
TERRY,0,*,*,0,0,0
TITUS,0,0,*,0,*,*
TOM GREEN,*,*,*,0,*,*
TRAVIS,50,59,42,66,78,106
TRINITY,0,*,0,*,0,*
TYLER,0,0,0,*,*,*
UPSHUR,0,*,0,*,*,0
UVALDE,0,*,0,0,*,*
VAL VERDE,0,*,*,0,0,*
VAN ZANDT,*,*,*,*,*,*
VICTORIA,*,0,*,*,*,*
WALKER,0,*,*,*,*,*
WALLER,*,*,*,*,*,*
WARD,*,0,*,*,0,*
WASHINGTON,0,0,*,*,*,*
WEBB,*,*,*,*,0,*
WHARTON,0,*,*,0,0,*
WICHITA,*,10,*,*,*,13
WILBARGER,*,0,0,0,*,0
WILLACY,0,0,*,0,0,0
WILLIAMSON,*,14,*,11,15,14
WILSON,0,0,0,*,*,*
WISE,*,*,*,*,*,*
WOOD,*,0,*,*,*,*
YOUNG,0,*,*,*,*,*
ZAVALA,0,0,0,0,*,0
Total,603,746,796,924,"1,154","1,602"
