COUNTY,Profession,POPULATION,PROFESSION COUNT,RATIO POPULATION TO PROFESSION,RATIO 100K POPULATION TO PROFESSION,Ranking along COUNTY
GALVESTON ,Dentist,"369,095",156,"2,366.00",42.3,42
SOMERVELL ,Dentist,"9,482",4,"2,370.50",42.2,43
VICTORIA ,Dentist,"100,022",41,"2,439.60",41,44
MCLENNAN ,Dentist,"256,604",105,"2,443.80",40.9,45
KAUFMAN ,Dentist,"130,210",53,"2,456.80",40.7,46
WHARTON ,Dentist,"42,045",17,"2,473.20",40.4,47
JOHNSON ,Dentist,"176,087",71,"2,480.10",40.3,48
HAYS ,Dentist,"253,894",102,"2,489.20",40.2,49
COOKE ,Dentist,"39,967",16,"2,497.90",40,50
MIDLAND ,Dentist,"200,890",80,"2,511.10",39.8,51
TOM GREEN ,Dentist,"126,243",50,"2,524.90",39.6,52
KLEBERG ,Dentist,"30,857",12,"2,571.40",38.9,53
LAMAR ,Dentist,"49,957",19,"2,629.30",38,54
ERATH ,Dentist,"42,363",16,"2,647.70",37.8,55
BANDERA ,Dentist,"21,389",8,"2,673.60",37.4,56
NUECES ,Dentist,"393,190",146,"2,693.10",37.1,57
PARKER ,Dentist,"139,853",51,"2,742.20",36.5,58
ELLIS ,Dentist,"183,842",67,"2,743.90",36.4,59
DE WITT ,Dentist,"22,078",8,"2,759.80",36.2,60
SAN SABA ,Dentist,"5,845",2,"2,922.50",34.2,61
BLANCO ,Dentist,"11,694",4,"2,923.50",34.2,62
ANGELINA ,Dentist,"91,022",31,"2,936.20",34.1,63
GUADALUPE ,Dentist,"179,600",61,"2,944.30",34,64
HUNT ,Dentist,"97,277",33,"2,947.80",33.9,65
EL PASO ,Dentist,"890,020",301,"2,956.90",33.8,66
DEAF SMITH ,Dentist,"17,955",6,"2,992.50",33.4,67
NAVARRO ,Dentist,"47,962",16,"2,997.60",33.4,68
ANDERSON ,Dentist,"58,094",19,"3,057.60",32.7,69
MORRIS ,Dentist,"12,328",4,"3,082.00",32.4,70
ORANGE ,Dentist,"86,913",28,"3,104.00",32.2,71
HOPKINS ,Dentist,"37,334",12,"3,111.20",32.1,72
HASKELL ,Dentist,"6,289",2,"3,144.50",31.8,73
FANNIN ,Dentist,"34,720",11,"3,156.40",31.7,74
BASTROP ,Dentist,"88,616",28,"3,164.90",31.6,75
JASPER ,Dentist,"35,374",11,"3,215.80",31.1,76
LLANO ,Dentist,"19,503",6,"3,250.50",30.8,77
HENDERSON ,Dentist,"81,548",25,"3,261.90",30.7,78
FAYETTE ,Dentist,"26,452",8,"3,306.50",30.2,79
HIDALGO ,Dentist,"888,655",266,"3,340.80",29.9,80
MATAGORDA ,Dentist,"37,032",11,"3,366.50",29.7,81
LIMESTONE ,Dentist,"23,574",7,"3,367.70",29.7,82
CAMP ,Dentist,"13,515",4,"3,378.80",29.6,83
REAL ,Dentist,"3,421",1,"3,421.00",29.2,84
LEE ,Dentist,"17,787",5,"3,557.40",28.1,85
WALKER ,Dentist,"75,503",21,"3,595.40",27.8,86
BAYLOR ,Dentist,"3,617",1,"3,617.00",27.6,87
SAN PATRICIO ,Dentist,"72,760",20,"3,638.00",27.5,88
LIPSCOMB ,Dentist,"3,733",1,"3,733.00",26.8,89
CASS ,Dentist,"30,203",8,"3,775.40",26.5,90
REFUGIO ,Dentist,"7,603",2,"3,801.50",26.3,91
KARNES ,Dentist,"15,560",4,"3,890.00",25.7,92
MASON ,Dentist,"3,905",1,"3,905.00",25.6,93
NOLAN ,Dentist,"15,734",4,"3,933.50",25.4,94
PALO PINTO ,Dentist,"27,777",7,"3,968.10",25.2,95
WEBB ,Dentist,"281,099",70,"4,015.70",24.9,96
UVALDE ,Dentist,"28,411",7,"4,058.70",24.6,97
MILAM ,Dentist,"24,627",6,"4,104.50",24.4,98
FRIO ,Dentist,"20,640",5,"4,128.00",24.2,99
CALDWELL ,Dentist,"45,617",11,"4,147.00",24.1,100
CONCHO ,Dentist,"4,153",1,"4,153.00",24.1,101
POLK ,Dentist,"49,862",12,"4,155.20",24.1,102
SAN AUGUSTINE ,Dentist,"8,314",2,"4,157.00",24.1,103
LIBERTY ,Dentist,"87,353",21,"4,159.70",24,104
HOCKLEY ,Dentist,"24,959",6,"4,159.80",24,105
WISE ,Dentist,"67,160",16,"4,197.50",23.8,106
COLEMAN ,Dentist,"8,406",2,"4,203.00",23.8,107
CAMERON ,Dentist,"431,026",102,"4,225.70",23.7,108
COLORADO ,Dentist,"21,353",5,"4,270.60",23.4,109
JIM WELLS ,Dentist,"43,229",10,"4,322.90",23.1,110
LA SALLE ,Dentist,"8,651",2,"4,325.50",23.1,111
BROWN ,Dentist,"38,984",9,"4,331.60",23.1,112
HARDIN ,Dentist,"56,792",13,"4,368.60",22.9,113
ECTOR ,Dentist,"196,837",45,"4,374.20",22.9,114
TERRY ,Dentist,"13,161",3,"4,387.00",22.8,115
RUSK ,Dentist,"52,648",12,"4,387.30",22.8,116
CORYELL ,Dentist,"79,108",18,"4,394.90",22.8,117
SUTTON ,Dentist,"4,431",1,"4,431.00",22.6,118
HARRISON ,Dentist,"68,736",15,"4,582.40",21.8,119
WOOD ,Dentist,"45,896",10,"4,589.60",21.8,120
CALHOUN ,Dentist,"23,065",5,"4,613.00",21.7,121
MEDINA ,Dentist,"51,621",11,"4,692.80",21.3,122
MONTAGUE ,Dentist,"19,099",4,"4,774.80",20.9,123
STEPHENS ,Dentist,"9,568",2,"4,784.00",20.9,124
SABINE ,Dentist,"9,752",2,"4,876.00",20.5,125
HEMPHILL ,Dentist,"4,892",1,"4,892.00",20.4,126
MADISON ,Dentist,"14,754",3,"4,918.00",20.3,127
GRAY ,Dentist,"24,695",5,"4,939.00",20.2,128
SHELBY ,Dentist,"25,493",5,"5,098.60",19.6,129
LAVACA ,Dentist,"21,191",4,"5,297.80",18.9,130
LAMPASAS ,Dentist,"21,331",4,"5,332.80",18.8,131
HUTCHINSON ,Dentist,"21,396",4,"5,349.00",18.7,132
DELTA ,Dentist,"5,375",1,"5,375.00",18.6,133
MOORE ,Dentist,"21,510",4,"5,377.50",18.6,134
WILSON ,Dentist,"53,799",10,"5,379.90",18.6,135
JACKSON ,Dentist,"16,293",3,"5,431.00",18.4,136
CHAMBERS ,Dentist,"44,194",8,"5,524.30",18.1,137
VAN ZANDT ,Dentist,"56,056",10,"5,605.60",17.8,138
HOUSTON ,Dentist,"22,433",4,"5,608.30",17.8,139
FLOYD ,Dentist,"5,687",1,"5,687.00",17.6,140
RAINS ,Dentist,"11,455",2,"5,727.50",17.5,141
ARANSAS ,Dentist,"28,757",5,"5,751.40",17.4,142
OCHILTREE ,Dentist,"11,553",2,"5,776.50",17.3,143
WHEELER ,Dentist,"5,841",1,"5,841.00",17.1,144
HANSFORD ,Dentist,"5,890",1,"5,890.00",17,145
VAL VERDE ,Dentist,"48,098",8,"6,012.30",16.6,146
HARTLEY ,Dentist,"6,092",1,"6,092.00",16.4,147
HOWARD ,Dentist,"42,702",7,"6,100.30",16.4,148
SCURRY ,Dentist,"18,701",3,"6,233.70",16,149
LAMB ,Dentist,"12,556",2,"6,278.00",15.9,150
MARTIN ,Dentist,"6,349",1,"6,349.00",15.8,151
COMANCHE ,Dentist,"12,878",2,"6,439.00",15.5,152
HALE ,Dentist,"32,583",5,"6,516.60",15.3,153
CRANE ,Dentist,"6,667",1,"6,667.00",15,154
DAWSON ,Dentist,"13,543",2,"6,771.50",14.8,155
GARZA ,Dentist,"6,850",1,"6,850.00",14.6,156
TYLER ,Dentist,"21,278",3,"7,092.70",14.1,157
HILL ,Dentist,"35,683",5,"7,136.60",14,158
BROOKS ,Dentist,"7,153",1,"7,153.00",14,159
GONZALES ,Dentist,"21,636",3,"7,212.00",13.9,160
SWISHER ,Dentist,"7,328",1,"7,328.00",13.6,161
DALLAM ,Dentist,"7,353",1,"7,353.00",13.6,162
WALLER ,Dentist,"52,280",7,"7,468.60",13.4,163
CHEROKEE ,Dentist,"52,350",7,"7,478.60",13.4,164
ATASCOSA ,Dentist,"53,493",7,"7,641.90",13.1,165
GAINES ,Dentist,"23,150",3,"7,716.70",13,166
BAILEY ,Dentist,"7,810",1,"7,810.00",12.8,167
GOLIAD ,Dentist,"7,825",1,"7,825.00",12.8,168
ANDREWS ,Dentist,"24,369",3,"8,123.00",12.3,169
PECOS ,Dentist,"16,658",2,"8,329.00",12,170
MAVERICK ,Dentist,"61,027",7,"8,718.10",11.5,171
BEE ,Dentist,"34,943",4,"8,735.80",11.4,172
MCCULLOCH ,Dentist,"8,738",1,"8,738.00",11.4,173
BURLESON ,Dentist,"17,841",2,"8,920.50",11.2,174
PARMER ,Dentist,"9,004",1,"9,004.00",11.1,175
EASTLAND ,Dentist,"18,087",2,"9,043.50",11.1,176
BREWSTER ,Dentist,"9,067",1,"9,067.00",11,177
STARR ,Dentist,"65,276",7,"9,325.10",10.7,178
YOAKUM ,Dentist,"9,579",1,"9,579.00",10.4,179
GRIMES ,Dentist,"29,344",3,"9,781.30",10.2,180
FREESTONE ,Dentist,"19,860",2,"9,930.00",10.1,181
MARION ,Dentist,"10,199",1,"10,199.00",9.8,182
FRANKLIN ,Dentist,"10,977",1,"10,977.00",9.1,183
LIVE OAK ,Dentist,"12,132",1,"12,132.00",8.2,184
DIMMIT ,Dentist,"12,197",1,"12,197.00",8.2,185
RED RIVER ,Dentist,"12,515",1,"12,515.00",8,186
ZAVALA ,Dentist,"12,879",1,"12,879.00",7.8,187
WILBARGER ,Dentist,"12,913",1,"12,913.00",7.7,188
UPSHUR ,Dentist,"42,145",3,"14,048.30",7.1,189
WARD ,Dentist,"14,383",1,"14,383.00",7,190
REEVES ,Dentist,"16,150",1,"16,150.00",6.2,191
FALLS ,Dentist,"16,390",1,"16,390.00",6.1,192
ROBERTSON ,Dentist,"16,936",1,"16,936.00",5.9,193
LEON ,Dentist,"17,905",1,"17,905.00",5.6,194
JONES ,Dentist,"19,666",1,"19,666.00",5.1,195
WILLACY ,Dentist,"22,089",1,"22,089.00",4.5,196
SAN JACINTO ,Dentist,"29,330",1,"29,330.00",3.4,197
ZAPATA ,Dentist,"14,430",0,-,-,0
WINKLER ,Dentist,"9,854",0,-,-,0
UPTON ,Dentist,"4,127",0,-,-,0
TRINITY ,Dentist,"14,122",0,-,-,0
THROCKMORTON ,Dentist,"1,506",0,-,-,0
TERRELL ,Dentist,"1,058",0,-,-,0
STONEWALL ,Dentist,"1,525",0,-,-,0
STERLING ,Dentist,"1,269",0,-,-,0
SHERMAN ,Dentist,"3,326",0,-,-,0
SHACKELFORD ,Dentist,"3,423",0,-,-,0
SCHLEICHER ,Dentist,"3,336",0,-,-,0
RUNNELS ,Dentist,"11,137",0,-,-,0
ROBERTS ,Dentist,994,0,-,-,0
REAGAN ,Dentist,"4,425",0,-,-,0
PRESIDIO ,Dentist,"5,609",0,-,-,0
PANOLA ,Dentist,"24,714",0,-,-,0
OLDHAM ,Dentist,"2,217",0,-,-,0
NEWTON ,Dentist,"13,598",0,-,-,0
MOTLEY ,Dentist,"1,162",0,-,-,0
MITCHELL ,Dentist,"9,943",0,-,-,0
MENARD ,Dentist,"2,185",0,-,-,0
MCMULLEN ,Dentist,787,0,-,-,0
LYNN ,Dentist,"5,534",0,-,-,0
LOVING ,Dentist,93,0,-,-,0
KNOX ,Dentist,"3,987",0,-,-,0
KINNEY ,Dentist,"3,453",0,-,-,0
KING ,Dentist,317,0,-,-,0
KENT ,Dentist,800,0,-,-,0
KENEDY ,Dentist,487,0,-,-,0
JIM HOGG ,Dentist,"5,026",0,-,-,0
JEFF DAVIS ,Dentist,"2,076",0,-,-,0
JACK ,Dentist,"8,820",0,-,-,0
IRION ,Dentist,"1,506",0,-,-,0
HUDSPETH ,Dentist,"3,406",0,-,-,0
HALL ,Dentist,"3,302",0,-,-,0
GLASSCOCK ,Dentist,"1,394",0,-,-,0
FOARD ,Dentist,"1,232",0,-,-,0
FISHER ,Dentist,"3,979",0,-,-,0
EDWARDS ,Dentist,"1,965",0,-,-,0
DUVAL ,Dentist,"11,727",0,-,-,0
DONLEY ,Dentist,"3,357",0,-,-,0
DICKENS ,Dentist,"2,126",0,-,-,0
CULBERSON ,Dentist,"2,212",0,-,-,0
CROSBY ,Dentist,"6,547",0,-,-,0
CROCKETT ,Dentist,"4,088",0,-,-,0
COTTLE ,Dentist,"1,510",0,-,-,0
COLLINGSWORTH ,Dentist,"3,255",0,-,-,0
COKE ,Dentist,"3,201",0,-,-,0
COCHRAN ,Dentist,"3,402",0,-,-,0
CLAY ,Dentist,"9,584",0,-,-,0
CASTRO ,Dentist,"6,938",0,-,-,0
CARSON ,Dentist,"5,768",0,-,-,0
CALLAHAN ,Dentist,"13,478",0,-,-,0
BRISCOE ,Dentist,"1,556",0,-,-,0
BORDEN ,Dentist,698,0,-,-,0
ARMSTRONG ,Dentist,"1,947",0,-,-,0
ARCHER ,Dentist,"8,264",0,-,-,0
