Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Primary Care,148291,Liberty County,Geographic HPSA,Texas,"Liberty County, TX",1.33,8,NA,Withdrawn,Rural,5/30/78,7/1/18
Primary Care,148299,Llano,Geographic HPSA,Texas,"Llano County, TX",,0,NA,Withdrawn,Rural,9/14/78,3/27/84
Primary Care,14899948G9,Low Income - McCulloch County,Geographic HPSA,Texas,"McCulloch County, TX",0.76,23,NA,Withdrawn,Rural,1/25/09,6/26/13
Primary Care,148999483B,Low Income - Third Ward,Geographic HPSA,Texas,"Harris County, TX",0,0,NA,Withdrawn,Non-Rural,9/23/01,11/2/11
Primary Care,1481978500,Lower Valley - El Paso,Geographic HPSA,Texas,"El Paso County, TX",8.99,10,NA,Withdrawn,Non-Rural,10/20/94,7/6/21
Primary Care,148313,Madison,Geographic HPSA,Texas,"Madison County, TX",0.6,0,NA,Withdrawn,Rural,12/25/89,10/19/10
Primary Care,148999482Q,Manor,Geographic HPSA,Texas,"Harrison County, TX",4.7,0,NA,Withdrawn,Partially Rural,7/23/01,6/28/12
Primary Care,148317,Martin,Geographic HPSA,Texas,"Martin County, TX",,0,NA,Withdrawn,Rural,9/27/90,1/20/94
Primary Care,1489994808,Mills/San Saba,Geographic HPSA,Texas,"Mills County, TX",,0,NA,Withdrawn,Rural,6/13/78,6/8/87
Primary Care,148339,Montgomery,Geographic HPSA,Texas,"Montgomery County, TX",,0,NA,Withdrawn,Non-Rural,5/30/78,8/30/88
Primary Care,148341,Moore,Geographic HPSA,Texas,"Moore County, TX",0.39,9,NA,Withdrawn,Rural,1/12/10,10/21/13
Primary Care,1489994815,Nixon,Geographic HPSA,Texas,"Gonzales County, TX",,0,NA,Withdrawn,Rural,1/16/80,3/13/88
Primary Care,148999482G,North Central Bexar,Geographic HPSA,Texas,"Bexar County, TX | Travis County, TX",0,0,NA,Withdrawn,Non-Rural,4/23/01,11/2/11
Primary Care,148999482F,North West Service Area,Geographic HPSA,Texas,"Travis County, TX",3.53,12,NA,Withdrawn,Non-Rural,3/1/12,7/1/18
Primary Care,148999483Y,Northeast,Geographic HPSA,Texas,"Harris County, TX",0,0,NA,Withdrawn,Non-Rural,3/27/02,11/2/11
Primary Care,1489763943,Northeast Upshur County,Geographic HPSA,Texas,"Upshur County, TX",1.45,11,NA,Withdrawn,Non-Rural,12/23/13,6/14/20
Primary Care,148999482T,Oak Hill Service Area,Geographic HPSA,Texas,"Travis County, TX",0,0,NA,Withdrawn,Non-Rural,9/9/01,11/2/11
Primary Care,148999482K,Pasadena,Geographic HPSA,Texas,"Harris County, TX",0,0,NA,Withdrawn,Non-Rural,5/28/01,11/2/11
Primary Care,148999483E,Pflugerville,Geographic HPSA,Texas,"Travis County, TX",0,0,NA,Withdrawn,Non-Rural,9/26/01,11/2/11
Primary Care,1489994862,Port Aransas,Geographic HPSA,Texas,"Nueces County, TX",,0,NA,Withdrawn,Partially Rural,1/22/90,11/15/07
Primary Care,1489994803,Port Arthur Inner City,Geographic HPSA,Texas,"Jefferson County, TX",,0,NA,Withdrawn,Non-Rural,7/9/79,5/28/01
Primary Care,1489994804,Presidio,Geographic HPSA,Texas,"Presidio County, TX",,0,NA,Withdrawn,Rural,3/27/84,10/1/95
Primary Care,1489994881,Ripley (Houston),Geographic HPSA,Texas,"Harris County, TX",1.3,9,NA,Withdrawn,Non-Rural,6/15/94,7/1/18
Primary Care,14899948G6,Robstown,Geographic HPSA,Texas,"Nueces County, TX",4.13,11,NA,Withdrawn,Non-Rural,11/2/06,6/24/14
Primary Care,1489994824,San Antonio (Eastside),Geographic HPSA,Texas,"Bexar County, TX | Dallas County, TX",0,0,NA,Withdrawn,Non-Rural,5/17/78,11/2/11
Primary Care,148999481X,San Antonio (Far East Side),Geographic HPSA,Texas,"Bexar County, TX",1.23,10,NA,Withdrawn,Non-Rural,1/15/01,7/1/18
Primary Care,1489994826,San Antonio (South Side),Geographic HPSA,Texas,"Bexar County, TX",,0,NA,Withdrawn,Non-Rural,5/17/78,8/7/06
Primary Care,1489994825,San Antonio (Southern Rural),Geographic HPSA,Texas,"Bexar County, TX",,0,NA,Withdrawn,Non-Rural,5/17/78,10/1/95
Primary Care,148415,Scurry County,Geographic HPSA,Texas,"Scurry County, TX",0.62,10,NA,Withdrawn,Rural,12/5/10,12/10/13
Primary Care,1489994876,Settegast,Geographic HPSA,Texas,"Moore County, TX",,0,NA,Withdrawn,Rural,11/21/93,8/12/02
Primary Care,1488243333,Shackelford County,Geographic HPSA,Texas,"Shackelford County, TX",0.35,13,NA,Withdrawn,Rural,1/25/12,7/6/21
Primary Care,1489994866,Silverton/Turkey,Geographic HPSA,Texas,"Hall County, TX",0,0,NA,Withdrawn,Rural,3/28/91,12/30/96
Primary Care,1489994867,South Brewster/Big Bend,Geographic HPSA,Texas,"Brewster County, TX",0.2,0,NA,Withdrawn,Rural,3/28/91,12/30/96
Primary Care,1489994820,South Dallas,Geographic HPSA,Texas,"Dallas County, TX",4.56,16,NA,Withdrawn,Non-Rural,8/27/78,7/1/18
Primary Care,1489994817,South El Paso Service Area,Geographic HPSA,Texas,"El Paso County, TX",-4.51,0,NA,Withdrawn,Non-Rural,4/11/80,11/2/11
Primary Care,1487519166,South Service Area,Geographic HPSA,Texas,"Cameron County, TX",12.37,13,NA,Withdrawn,Non-Rural,3/1/06,6/14/20
Primary Care,1489729981,Southeast El Paso,Geographic HPSA,Texas,"El Paso County, TX",37.5,12,NA,Withdrawn,Non-Rural,9/27/78,7/6/21
Primary Care,148429,Stephens,Geographic HPSA,Texas,"Stephens County, TX",0,0,NA,Withdrawn,Rural,3/30/93,11/2/11
Primary Care,1484017361,Stephens County,Geographic HPSA,Texas,"Stephens County, TX",0,8,NA,Withdrawn,Rural,7/8/15,7/1/18
Primary Care,148999483J,Stephens Park,Geographic HPSA,Texas,"Dallas County, TX",0,5,NA,Withdrawn,Non-Rural,11/6/01,6/24/14
Primary Care,1489994806,Stop Six,Geographic HPSA,Texas,"Tarrant County, TX",,0,NA,Withdrawn,Non-Rural,6/23/79,8/30/88
Primary Care,148435,Sutton,Geographic HPSA,Texas,"Sutton County, TX",-0.81,0,NA,Withdrawn,Rural,10/30/85,2/16/11
Primary Care,148999487G,Sweeny West Columbia,Geographic HPSA,Texas,"Brazoria County, TX",5.84,12,NA,Withdrawn,Non-Rural,5/15/14,7/1/18
Primary Care,1482061201,Sweeny West Columbia SA,Geographic HPSA,Texas,"Brazoria County, TX",6.68,17,NA,Withdrawn,Non-Rural,5/3/18,6/14/20
Primary Care,148447,Throckmorton,Geographic HPSA,Texas,"Throckmorton County, TX",0,0,NA,Withdrawn,Rural,8/30/88,9/14/00
Primary Care,1489994829,Trinidad,Geographic HPSA,Texas,"Henderson County, TX",,0,NA,Withdrawn,Rural,3/8/81,3/27/84
Primary Care,1489994899,Troup,Geographic HPSA,Texas,"Denton County, TX",0,0,NA,Withdrawn,Non-Rural,6/22/95,9/14/00
Primary Care,148999482Y,Tyler,Geographic HPSA,Texas,"Smith County, TX",,0,NA,Withdrawn,Non-Rural,9/10/01,2/6/07
Primary Care,148459,Upshur,Geographic HPSA,Texas,"Upshur County, TX",1.2,0,NA,Withdrawn,Partially Rural,4/20/00,6/28/12
Primary Care,1484733433,Van Zandt County,Geographic HPSA,Texas,"Van Zandt County, TX",7.05,11,NA,Withdrawn,Rural,6/7/78,7/6/21
Primary Care,148477,Washington County,Geographic HPSA,Texas,"Washington County, TX",0.23,12,NA,Withdrawn,Rural,2/13/12,7/1/18
Primary Care,148479,Webb,Geographic HPSA,Texas,"Webb County, TX",,0,NA,Withdrawn,Partially Rural,6/13/78,8/31/10
Primary Care,148999483W,West Brazoria,Geographic HPSA,Texas,"Brazoria County, TX",0,0,NA,Withdrawn,Non-Rural,9/5/02,11/2/11
Primary Care,1483274639,West Central,Geographic HPSA,Texas,"El Paso County, TX",16.6,12,NA,Withdrawn,Non-Rural,5/25/06,7/6/21
Primary Care,1489994816,West Dallas,Geographic HPSA,Texas,"Dallas County, TX",0,4,NA,Withdrawn,Non-Rural,1/24/80,6/24/14
Primary Care,1409994002,Western Oklahoma,Geographic HPSA,Oklahoma,"Blaine County, OK | Custer County, OK | Dewey County, OK | Lipscomb County, TX | Woodward County, OK",,0,NA,Withdrawn,Rural,5/9/78,3/20/84
Primary Care,148497,Wise,Geographic HPSA,Texas,"Wise County, TX",0.56,7,NA,Withdrawn,Rural,6/11/78,12/4/13
Primary Care,148501,Yoakum County,Geographic HPSA,Texas,"Yoakum County, TX",0.02,12,NA,Withdrawn,Rural,2/20/12,7/1/18
