County,"Nurse, Nurse Practitioner with NPI (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Dallam County, TX",4,7273,55.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Dallas County, TX",3054,2635888,115.86,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Dawson County, TX",6,12974,46.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Deaf Smith County, TX",17,18277,93.01,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Delta County, TX",3,5349,56.09,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Denton County, TX",592,919324,64.40,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"DeWitt County, TX",9,20174,44.61,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Dickens County, TX",1,2140,46.73,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Dimmit County, TX",5,9925,50.38,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Donley County, TX",2,3308,60.46,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Duval County, TX",4,11058,36.17,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Eastland County, TX",7,18388,38.07,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Ector County, TX",122,167701,72.75,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Edwards County, TX",0,1923,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"El Paso County, TX",699,841286,83.09,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Ellis County, TX",96,191760,50.06,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Erath County, TX",18,43224,41.64,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Falls County, TX",9,17275,52.10,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Fannin County, TX",14,35913,38.98,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Fayette County, TX",8,25547,31.31,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Fisher County, TX",4,3784,105.71,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Floyd County, TX",2,5672,35.26,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Foard County, TX",1,1135,88.11,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Fort Bend County, TX",661,839706,78.72,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Franklin County, TX",1,10821,9.24,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Freestone County, TX",10,19874,50.32,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Frio County, TX",11,20379,53.98,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Gaines County, TX",5,21996,22.73,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Galveston County, TX",338,345089,97.95,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Garza County, TX",1,6222,16.07,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Gillespie County, TX",13,26960,48.22,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Glasscock County, TX",0,1439,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Goliad County, TX",1,7626,13.11,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Gonzales County, TX",6,20948,28.64,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Gray County, TX",15,21658,69.26,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Grayson County, TX",124,138318,89.65,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Gregg County, TX",174,124229,140.06,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Grimes County, TX",8,29614,27.01,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Guadalupe County, TX",58,170608,34.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hale County, TX",15,32754,45.80,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hall County, TX",1,2939,34.03,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hamilton County, TX",3,8557,35.06,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hansford County, TX",3,5279,56.83,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hardeman County, TX",2,4011,49.86,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hardin County, TX",36,58305,61.74,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Harris County, TX",4387,4738253,92.59,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Harrison County, TX",31,66386,46.70,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hartley County, TX",0,5443,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Haskell County, TX",1,5754,17.38,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hays County, TX",132,241365,54.69,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hemphill County, TX",3,3777,79.43,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Henderson County, TX",48,83792,57.28,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hidalgo County, TX",522,875200,59.64,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hill County, TX",7,37006,18.92,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hockley County, TX",9,22921,39.27,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hood County, TX",25,63527,39.35,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hopkins County, TX",31,37170,83.40,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Houston County, TX",12,22835,52.55,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Howard County, TX",40,36540,109.47,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hudspeth County, TX",0,4906,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hunt County, TX",67,99807,67.13,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Hutchinson County, TX",9,20677,43.53,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Irion County, TX",0,1564,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jack County, TX",3,9056,33.13,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jackson County, TX",9,14854,60.59,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jasper County, TX",22,35375,62.19,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jeff Davis County, TX",1,2220,45.05,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jefferson County, TX",346,250127,138.33,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jim Hogg County, TX",0,5184,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jim Wells County, TX",28,40452,69.22,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Johnson County, TX",103,179575,57.36,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Jones County, TX",8,19875,40.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Karnes County, TX",5,15562,32.13,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kaufman County, TX",60,143198,41.90,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kendall County, TX",48,48523,98.92,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kenedy County, TX",0,379,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kent County, TX",0,786,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kerr County, TX",55,52869,104.03,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kimble County, TX",1,4396,22.75,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"King County, TX",0,283,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kinney County, TX",1,3670,27.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Kleberg County, TX",12,30338,39.55,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Knox County, TX",6,3683,162.91,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"La Salle County, TX",7,7500,93.33,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lamar County, TX",59,49905,118.22,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lamb County, TX",5,12710,39.34,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lampasas County, TX",7,21789,32.13,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lavaca County, TX",6,20216,29.68,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lee County, TX",4,17397,22.99,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Leon County, TX",6,17493,34.30,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Liberty County, TX",31,91547,33.86,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Limestone County, TX",13,23340,55.70,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lipscomb County, TX",2,3111,64.29,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Live Oak County, TX",3,12324,24.34,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Llano County, TX",2,21958,9.11,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Loving County, TX",0,181,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lubbock County, TX",455,314772,144.55,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Lynn County, TX",4,6025,66.39,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Madison County, TX",2,14427,13.86,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Marion County, TX",4,9960,40.16,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Martin County, TX",2,5816,34.39,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Mason County, TX",2,4344,46.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Matagorda County, TX",24,36725,65.35,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Maverick County, TX",15,58378,25.69,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"McCulloch County, TX",0,7823,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"McLennan County, TX",195,259730,75.08,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"McMullen County, TX",0,721,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Medina County, TX",4,52358,7.64,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Menard County, TX",0,2124,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Midland County, TX",122,177863,68.59,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Milam County, TX",16,24708,64.76,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Mills County, TX",2,4840,41.32,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Mitchell County, TX",3,8202,36.58,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Montague County, TX",4,19962,20.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Montgomery County, TX",416,626351,66.42,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Moore County, TX",5,20654,24.21,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Morris County, TX",3,12393,24.21,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Motley County, TX",0,1185,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Nacogdoches County, TX",52,64753,80.31,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Navarro County, TX",22,50694,43.40,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Newton County, TX",1,13414,7.45,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Nolan County, TX",9,14835,60.67,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Nueces County, TX",379,363148,104.37,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Ochiltree County, TX",5,9598,52.09,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Oldham County, TX",0,2135,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Orange County, TX",39,82878,47.06,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Palo Pinto County, TX",15,29320,51.16,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Panola County, TX",5,23187,21.56,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Parker County, TX",51,148198,34.41,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Parmer County, TX",11,9522,115.52,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Pecos County, TX",10,15718,63.62,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Polk County, TX",25,52995,47.17,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Potter County, TX",249,116004,214.65,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Presidio County, TX",1,6508,15.37,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Rains County, TX",1,12552,7.97,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Randall County, TX",70,139899,50.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Reagan County, TX",3,3833,78.27,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Real County, TX",1,3411,29.32,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Red River County, TX",3,11995,25.01,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Reeves County, TX",4,15949,25.08,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Refugio County, TX",2,6877,29.08,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Roberts County, TX",0,813,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Robertson County, TX",6,17155,34.98,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Rockwall County, TX",80,109888,72.80,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Runnels County, TX",6,10401,57.69,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Rusk County, TX",19,54324,34.98,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Sabine County, TX",9,10507,85.66,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"San Augustine County, TX",5,8248,60.62,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"San Jacinto County, TX",2,29301,6.83,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"San Patricio County, TX",30,67069,44.73,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"San Saba County, TX",2,6039,33.12,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Schleicher County, TX",1,2761,36.22,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Scurry County, TX",3,16662,18.01,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Shackelford County, TX",2,3300,60.61,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Shelby County, TX",21,24915,84.29,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Sherman County, TX",1,3027,33.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Smith County, TX",326,235806,138.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Somervell County, TX",8,9139,87.54,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Starr County, TX",16,64266,24.90,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Stephens County, TX",10,9334,107.14,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Sterling County, TX",1,1315,76.05,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Stonewall County, TX",4,1348,296.74,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Sutton County, TX",4,3738,107.01,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Swisher County, TX",2,7340,27.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Tarrant County, TX",1773,2123347,83.50,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Taylor County, TX",192,139200,137.93,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Terrell County, TX",0,702,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Terry County, TX",5,12183,41.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Throckmorton County, TX",1,1487,67.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Titus County, TX",32,32926,97.19,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Tom Green County, TX",106,120010,88.33,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Travis County, TX",1204,1300503,92.58,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Trinity County, TX",4,14883,26.88,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Tyler County, TX",8,21591,37.05,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Upshur County, TX",3,42166,7.11,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Upton County, TX",3,3623,82.80,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Uvalde County, TX",15,26742,56.09,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Val Verde County, TX",21,49028,42.83,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Van Zandt County, TX",15,57533,26.07,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Victoria County, TX",89,91936,96.81,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Walker County, TX",32,72164,44.34,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Waller County, TX",13,57452,22.63,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Ward County, TX",9,12097,74.40,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Washington County, TX",19,35771,53.12,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Webb County, TX",146,277681,52.58,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wharton County, TX",24,41685,57.57,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wheeler County, TX",4,4946,80.87,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wichita County, TX",164,133205,123.12,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wilbarger County, TX",12,12552,95.60,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Willacy County, TX",2,21161,9.45,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Williamson County, TX",373,617855,60.37,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wilson County, TX",23,52023,44.21,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Winkler County, TX",1,7887,12.68,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wise County, TX",43,71084,60.49,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Wood County, TX",28,46291,60.49,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Yoakum County, TX",3,8702,34.47,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Young County, TX",16,17904,89.37,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Zapata County, TX",5,14172,35.28,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Zavala County, TX",7,11840,59.12,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
