County,"M.D., All M.D. (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Eastland County, TX",4,18388,21.75,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Ector County, TX",343,167701,204.53,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Edwards County, TX",3,1923,156.01,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"El Paso County, TX",1988,841286,236.30,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Ellis County, TX",176,191760,91.78,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Erath County, TX",54,43224,124.93,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Falls County, TX",8,17275,46.31,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Fannin County, TX",16,35913,44.55,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Fayette County, TX",28,25547,109.60,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Fisher County, TX",1,3784,26.43,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Floyd County, TX",3,5672,52.89,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Foard County, TX",0,1135,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Fort Bend County, TX",2397,839706,285.46,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Franklin County, TX",5,10821,46.21,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Freestone County, TX",3,19874,15.10,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Frio County, TX",9,20379,44.16,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Gaines County, TX",5,21996,22.73,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Galveston County, TX",1932,345089,559.86,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Garza County, TX",1,6222,16.07,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Gillespie County, TX",118,26960,437.69,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Glasscock County, TX",0,1439,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Goliad County, TX",5,7626,65.57,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Gonzales County, TX",16,20948,76.38,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Gray County, TX",19,21658,87.73,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Grayson County, TX",242,138318,174.96,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Gregg County, TX",401,124229,322.79,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Grimes County, TX",17,29614,57.41,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Guadalupe County, TX",171,170608,100.23,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hale County, TX",19,32754,58.01,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hall County, TX",0,2939,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hamilton County, TX",16,8557,186.98,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hansford County, TX",4,5279,75.77,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hardeman County, TX",5,4011,124.66,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hardin County, TX",24,58305,41.16,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Harris County, TX",18129,4738253,382.61,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Harrison County, TX",55,66386,82.85,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hartley County, TX",0,5443,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Haskell County, TX",2,5754,34.76,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hays County, TX",318,241365,131.75,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hemphill County, TX",6,3777,158.86,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Henderson County, TX",77,83792,91.89,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hidalgo County, TX",1179,875200,134.71,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hill County, TX",23,37006,62.15,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hockley County, TX",17,22921,74.17,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hood County, TX",88,63527,138.52,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hopkins County, TX",39,37170,104.92,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Houston County, TX",12,22835,52.55,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Howard County, TX",51,36540,139.57,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hudspeth County, TX",1,4906,20.38,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hunt County, TX",70,99807,70.14,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Hutchinson County, TX",13,20677,62.87,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Irion County, TX",0,1564,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jack County, TX",4,9056,44.17,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jackson County, TX",9,14854,60.59,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jasper County, TX",27,35375,76.33,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jeff Davis County, TX",2,2220,90.09,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jefferson County, TX",581,250127,232.28,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jim Hogg County, TX",2,5184,38.58,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jim Wells County, TX",29,40452,71.69,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Johnson County, TX",192,179575,106.92,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Jones County, TX",7,19875,35.22,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Karnes County, TX",6,15562,38.56,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kaufman County, TX",78,143198,54.47,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kendall County, TX",215,48523,443.09,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kenedy County, TX",0,379,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kent County, TX",0,786,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kerr County, TX",198,52869,374.51,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kimble County, TX",5,4396,113.74,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"King County, TX",0,283,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kinney County, TX",0,3670,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Kleberg County, TX",25,30338,82.40,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Knox County, TX",2,3683,54.30,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"La Salle County, TX",0,7500,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lamar County, TX",128,49905,256.49,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lamb County, TX",6,12710,47.21,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lampasas County, TX",21,21789,96.38,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lavaca County, TX",25,20216,123.66,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lee County, TX",6,17397,34.49,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Leon County, TX",7,17493,40.02,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Liberty County, TX",47,91547,51.34,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Limestone County, TX",8,23340,34.28,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lipscomb County, TX",0,3111,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Live Oak County, TX",1,12324,8.11,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Llano County, TX",38,21958,173.06,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Loving County, TX",0,181,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lubbock County, TX",1365,314772,433.65,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Lynn County, TX",9,6025,149.38,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Madison County, TX",2,14427,13.86,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Marion County, TX",4,9960,40.16,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Martin County, TX",2,5816,34.39,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Mason County, TX",4,4344,92.08,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Matagorda County, TX",35,36725,95.30,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Maverick County, TX",37,58378,63.38,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"McCulloch County, TX",2,7823,25.57,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"McLennan County, TX",647,259730,249.10,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"McMullen County, TX",1,721,138.70,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Medina County, TX",31,52358,59.21,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Menard County, TX",0,2124,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Midland County, TX",311,177863,174.85,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Milam County, TX",12,24708,48.57,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Mills County, TX",5,4840,103.31,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Mitchell County, TX",4,8202,48.77,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Montague County, TX",13,19962,65.12,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Montgomery County, TX",1352,626351,215.85,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Moore County, TX",15,20654,72.63,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Morris County, TX",2,12393,16.14,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Motley County, TX",0,1185,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Nacogdoches County, TX",149,64753,230.11,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Navarro County, TX",63,50694,124.28,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Newton County, TX",4,13414,29.82,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Nolan County, TX",8,14835,53.93,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Nueces County, TX",1032,363148,284.18,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Ochiltree County, TX",5,9598,52.09,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Oldham County, TX",1,2135,46.84,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Orange County, TX",35,82878,42.23,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Palo Pinto County, TX",26,29320,88.68,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Panola County, TX",17,23187,73.32,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Parker County, TX",157,148198,105.94,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Parmer County, TX",2,9522,21.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Pecos County, TX",12,15718,76.35,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Polk County, TX",87,52995,164.17,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Potter County, TX",479,116004,412.92,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Presidio County, TX",2,6508,30.73,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Rains County, TX",4,12552,31.87,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Randall County, TX",313,139899,223.73,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Reagan County, TX",3,3833,78.27,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Real County, TX",2,3411,58.63,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Red River County, TX",6,11995,50.02,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Reeves County, TX",7,15949,43.89,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Refugio County, TX",2,6877,29.08,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Roberts County, TX",1,813,123.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Robertson County, TX",2,17155,11.66,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Rockwall County, TX",205,109888,186.55,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Runnels County, TX",9,10401,86.53,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Rusk County, TX",35,54324,64.43,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Sabine County, TX",6,10507,57.10,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"San Augustine County, TX",2,8248,24.25,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"San Jacinto County, TX",4,29301,13.65,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"San Patricio County, TX",28,67069,41.75,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"San Saba County, TX",4,6039,66.24,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Schleicher County, TX",2,2761,72.44,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Scurry County, TX",13,16662,78.02,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Shackelford County, TX",3,3300,90.91,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Shelby County, TX",10,24915,40.14,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Sherman County, TX",0,3027,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Smith County, TX",957,235806,405.84,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Somervell County, TX",7,9139,76.59,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Starr County, TX",26,64266,40.46,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Stephens County, TX",4,9334,42.85,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Sterling County, TX",1,1315,76.05,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Stonewall County, TX",3,1348,222.55,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Sutton County, TX",4,3738,107.01,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Swisher County, TX",2,7340,27.25,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Tarrant County, TX",4648,2123347,218.90,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Taylor County, TX",357,139200,256.47,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Terrell County, TX",0,702,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Terry County, TX",6,12183,49.25,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Throckmorton County, TX",1,1487,67.25,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Titus County, TX",47,32926,142.74,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Tom Green County, TX",312,120010,259.98,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Travis County, TX",4894,1300503,376.32,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Trinity County, TX",2,14883,13.44,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Tyler County, TX",9,21591,41.68,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Upshur County, TX",22,42166,52.17,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Upton County, TX",2,3623,55.20,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Uvalde County, TX",32,26742,119.66,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Val Verde County, TX",42,49028,85.67,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Van Zandt County, TX",19,57533,33.02,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Victoria County, TX",246,91936,267.58,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Walker County, TX",68,72164,94.23,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Waller County, TX",15,57452,26.11,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Ward County, TX",4,12097,33.07,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Washington County, TX",70,35771,195.69,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Webb County, TX",287,277681,103.36,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wharton County, TX",55,41685,131.94,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wheeler County, TX",3,4946,60.66,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wichita County, TX",353,133205,265.01,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wilbarger County, TX",16,12552,127.47,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Willacy County, TX",10,21161,47.26,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Williamson County, TX",1366,617855,221.09,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wilson County, TX",34,52023,65.36,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Winkler County, TX",3,7887,38.04,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wise County, TX",61,71084,85.81,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Wood County, TX",25,46291,54.01,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Yoakum County, TX",6,8702,68.95,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Young County, TX",22,17904,122.88,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Zapata County, TX",3,14172,21.17,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Zavala County, TX",4,11840,33.78,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
